date,ticker,action,price,units_after,reason
2016-04-01,069620,BUY,106000.0,1,ENTRY
2016-04-04,007660,BUY,5155.0,1,ENTRY
2016-04-05,012510,BUY,25100.0,1,ENTRY
2016-04-06,095610,BUY,12767.0,1,ENTRY
2016-04-07,012510,SELL,23500.0,0,MA20_BREAK
2016-04-07,068760,BUY,18741.0,1,ENTRY
2016-04-15,069620,SELL,93000.0,0,MA20_BREAK
2016-04-15,064350,BUY,18200.0,1,ENTRY
2016-04-20,068760,SELL,16615.0,0,STOP_8PCT
2016-04-20,011780,BUY,73300.0,1,ENTRY
2016-04-27,007660,SELL,4757.0,0,MA20_BREAK
2016-04-27,064760,BUY,44100.0,1,ENTRY
2016-05-02,095610,SELL,13000.0,0,MA20_BREAK
2016-05-02,099320,BUY,18417.0,1,ENTRY
2016-05-03,011780,SELL,67300.0,0,MA20_BREAK
2016-05-03,010060,BUY,97743.0,1,ENTRY
2016-05-04,064350,SELL,17450.0,0,MA20_BREAK
2016-05-04,010060,SELL,86618.0,0,STOP_8PCT
2016-05-04,034230,BUY,18450.0,1,ENTRY
2016-05-09,033780,BUY,132000.0,1,ENTRY
2016-05-11,034230,SELL,16850.0,0,MA20_BREAK
2016-05-12,099320,ADD,20054.0,2,ADD_8PCT
2016-05-18,064760,SELL,42450.0,0,MA20_BREAK
2016-05-18,181710,BUY,32863.0,1,ENTRY
2016-05-24,033780,SELL,126000.0,0,MA20_BREAK
2016-05-24,095610,BUY,15600.0,1,ENTRY
2016-05-27,181710,SELL,31037.0,0,MA20_BREAK
2016-05-27,043260,BUY,1150.0,1,ENTRY
2016-05-30,099320,SELL,19525.0,0,MA20_BREAK
2016-05-31,020150,BUY,16265.0,1,ENTRY
2016-06-01,192820,BUY,153889.0,1,ENTRY
2016-06-20,192820,SELL,153889.0,0,MA20_BREAK
2016-06-21,095610,SELL,16000.0,0,MA20_BREAK
2016-06-21,020150,SELL,17088.0,0,MA20_BREAK
2016-06-22,035900,BUY,6450.0,1,ENTRY
2016-06-23,100090,BUY,8921.0,1,ENTRY
2016-06-24,043260,SELL,1030.0,0,MA20_BREAK
2016-06-27,100090,SELL,7868.0,0,STOP_8PCT
2016-07-01,144600,BUY,4725.0,1,ENTRY
2016-07-04,067310,BUY,4141.0,1,ENTRY
2016-07-05,005290,BUY,9870.0,1,ENTRY
2016-07-06,035900,SELL,6120.0,0,MA20_BREAK
2016-07-07,005290,ADD,10700.0,2,ADD_8PCT
2016-07-21,144600,SELL,4745.0,0,MA20_BREAK
2016-07-21,067310,ADD,4594.0,2,ADD_8PCT
2016-07-27,067310,SELL,4273.0,0,MA20_BREAK
2016-07-27,034220,BUY,28145.0,1,ENTRY
2016-08-12,005290,SELL,9610.0,0,MA20_BREAK
2016-08-12,017800,BUY,45683.0,1,ENTRY
2016-08-16,003230,BUY,28600.0,1,ENTRY
2016-08-22,003230,SELL,26600.0,0,MA20_BREAK
2016-08-23,141080,BUY,24522.0,1,ENTRY
2016-08-25,034220,SELL,28468.0,0,MA20_BREAK
2016-08-25,141080,SELL,22546.0,0,STOP_8PCT
2016-08-25,052690,BUY,35500.0,1,ENTRY
2016-08-29,086790,BUY,29350.0,1,ENTRY
2016-08-31,052690,SELL,32450.0,0,MA20_BREAK
2016-08-31,035420,BUY,169240.0,1,ENTRY
2016-09-07,017800,SELL,45416.0,0,MA20_BREAK
2016-09-07,004020,BUY,55100.0,1,ENTRY
2016-09-13,086790,SELL,28400.0,0,MA20_BREAK
2016-09-13,004020,SELL,51200.0,0,MA20_BREAK
2016-09-13,003230,BUY,29450.0,1,ENTRY
2016-09-19,003230,ADD,32000.0,2,ADD_8PCT
2016-10-04,035420,SELL,171843.0,0,MA20_BREAK
2016-10-04,003230,ADD,48750.0,3,ADD_16PCT
2016-10-07,003230,SELL,43300.0,0,STOP_8PCT
2016-10-07,009540,BUY,135809.0,1,ENTRY
2016-10-10,001740,BUY,6980.0,1,ENTRY
2016-10-11,000720,BUY,41741.0,1,ENTRY
2016-10-12,086790,BUY,30850.0,1,ENTRY
2016-10-26,001740,SELL,6690.0,0,MA20_BREAK
2016-10-27,222800,BUY,8648.0,1,ENTRY
2016-10-28,009540,SELL,132174.0,0,MA20_BREAK
2016-10-28,000720,SELL,39941.0,0,MA20_BREAK
2016-11-07,222800,ADD,9847.0,2,ADD_8PCT
2016-11-17,086790,SELL,32600.0,0,MA20_BREAK
2016-11-17,222800,ADD,10132.0,3,ADD_16PCT
2016-12-12,047050,BUY,28800.0,1,ENTRY
2016-12-28,047050,SELL,27600.0,0,MA20_BREAK
2017-01-02,222800,SELL,11084.0,0,MA20_BREAK
2017-01-05,000250,BUY,12650.0,1,ENTRY
2017-01-06,011070,BUY,90800.0,1,ENTRY
2017-01-09,034220,BUY,29670.0,1,ENTRY
2017-01-10,011780,BUY,85800.0,1,ENTRY
2017-01-16,000250,SELL,12000.0,0,MA20_BREAK
2017-01-16,034220,SELL,28514.0,0,MA20_BREAK
2017-01-16,083650,BUY,4190.0,1,ENTRY
2017-01-17,071050,BUY,47000.0,1,ENTRY
2017-01-19,011070,SELL,88000.0,0,MA20_BREAK
2017-01-19,083650,ADD,4615.0,2,ADD_8PCT
2017-01-20,011780,SELL,82300.0,0,MA20_BREAK
2017-01-20,085620,BUY,5730.0,1,ENTRY
2017-02-24,071050,SELL,47550.0,0,MA20_BREAK
2017-02-24,192820,BUY,145565.0,1,ENTRY
2017-02-27,085620,SELL,5980.0,0,MA20_BREAK
2017-02-27,006400,BUY,124337.0,1,ENTRY
2017-03-03,192820,SELL,129881.0,0,MA20_BREAK
2017-03-06,083650,ADD,6740.0,3,ADD_16PCT
2017-03-07,006400,SELL,122379.0,0,MA20_BREAK
2017-03-07,010140,BUY,10287.0,1,ENTRY
2017-03-14,083650,SELL,6320.0,0,MA20_BREAK
2017-03-14,003230,BUY,63000.0,1,ENTRY
2017-03-15,095340,BUY,18635.0,1,ENTRY
2017-03-16,006800,BUY,9460.0,1,ENTRY
2017-03-21,003230,SELL,57900.0,0,STOP_8PCT
2017-03-21,011070,BUY,138500.0,1,ENTRY
2017-03-27,010140,SELL,9788.0,0,MA20_BREAK
