날짜,open,high,low,close,volume
2016-01-04,94104,94114,94104,94109,1403
2016-01-05,94124,94129,94124,94129,17351
2016-01-06,94124,94138,94124,94138,2392
2016-01-07,94138,94152,94138,94148,2330
2016-01-08,94157,94157,94148,94157,3508
2016-01-11,94167,94167,94157,94167,2314
2016-01-12,94167,94167,94162,94167,1357
2016-01-13,94172,94172,94167,94172,1574
2016-01-14,94185,94185,94181,94181,1615
2016-01-15,94181,94185,94176,94185,2549
2016-01-18,94192,94192,94185,94185,10052
2016-01-19,94189,94196,94189,94192,7304
2016-01-20,94196,94196,94192,94192,3212
2016-01-21,94216,94216,94206,94211,1330
2016-01-22,94216,94225,94211,94225,21484
2016-01-25,94220,94225,94216,94220,11926
2016-01-26,94225,94225,94216,94216,5826
2016-01-27,94225,94230,94220,94220,1857
2016-01-28,94235,94240,94230,94230,1939
2016-01-29,94235,94240,94235,94235,828
2016-02-01,94258,94263,94253,94258,645
2016-02-02,94273,94278,94273,94278,5029
2016-02-03,94283,94288,94283,94283,1689
2016-02-04,94311,94316,94306,94311,1129
2016-02-05,94316,94320,94316,94316,4057
2016-02-11,94325,94359,94325,94345,15709
2016-02-12,94350,94350,94345,94345,1914
2016-02-15,94345,94350,94345,94350,1897
2016-02-16,94350,94354,94345,94354,3054
2016-02-17,94368,94373,94368,94373,4135
2016-02-18,94378,94383,94378,94378,7315
2016-02-19,94378,94383,94373,94383,2260
2016-02-22,94378,94378,94373,94378,13335
2016-02-23,94378,94378,94373,94373,1230
2016-02-24,94373,94378,94373,94373,9774
2016-02-25,94392,94392,94383,94388,613
2016-02-26,94373,94396,94373,94392,1092
2016-02-29,94414,94414,94396,94401,14735
2016-03-02,94401,94405,94401,94405,3237
2016-03-03,94414,94414,94409,94414,4441
2016-03-04,94409,94414,94409,94414,2784
2016-03-07,94414,94414,94409,94414,9414
2016-03-08,94414,94419,94414,94419,6582
2016-03-09,94419,94428,94419,94428,1478
2016-03-10,94442,94447,94437,94442,1464
2016-03-11,94437,94437,94428,94428,2587
2016-03-14,94428,94428,94419,94419,8051
2016-03-15,94428,94432,94424,94424,3720
2016-03-16,94432,94432,94428,94428,4564
2016-03-17,94432,94442,94432,94437,5880
2016-03-18,94442,94447,94437,94442,1282
2016-03-21,94447,94452,94442,94447,6817
2016-03-22,94447,94452,94442,94442,4539
2016-03-23,94447,94452,94447,94452,1330
2016-03-24,94462,94470,94462,94465,2933
2016-03-25,94465,94470,94465,94465,3358
2016-03-28,94432,94475,94432,94470,11983
2016-03-29,94480,94490,94480,94490,1989
2016-03-30,94495,94509,94495,94509,15275
2016-03-31,94514,94519,94504,94509,11784
2016-04-01,94514,94519,94509,94514,13451
2016-04-04,94523,94523,94519,94523,17895
2016-04-05,94523,94528,94523,94523,2062
2016-04-06,94528,94532,94523,94523,3892
2016-04-07,94537,94541,94537,94537,3280
2016-04-08,94541,94546,94541,94541,296
2016-04-11,94546,94551,94546,94551,1889
2016-04-12,94556,94556,94546,94546,1788
2016-04-14,94561,94566,94551,94556,2144
2016-04-15,94551,94556,94551,94556,1701
2016-04-18,94556,94561,94556,94561,1672
2016-04-19,94556,94561,94551,94556,1660
2016-04-20,94561,94566,94561,94561,2464
2016-04-21,94579,94584,94574,94584,934
2016-04-22,94584,94584,94579,94579,3718
2016-04-25,94594,94594,94589,94594,5675
2016-04-26,94594,94604,94594,94599,4415
2016-04-27,94609,94609,94604,94604,1004
2016-04-28,94618,94618,94613,94618,514
2016-04-29,94618,94623,94618,94623,4503
2016-05-02,94623,94628,94623,94628,2471
2016-05-03,94640,94645,94640,94645,2987
2016-05-04,94654,94659,94649,94654,8240
2016-05-09,94663,94668,94663,94663,13027
2016-05-10,94673,94678,94673,94673,1575
2016-05-11,94678,94682,94678,94682,3817
2016-05-12,94685,94690,94682,94682,1970
2016-05-13,94685,94690,94682,94682,12560
2016-05-16,94682,94685,94678,94678,3042
2016-05-17,94682,94685,94678,94682,9494
2016-05-18,94682,94682,94673,94673,1675
2016-05-19,94682,94685,94678,94678,1214
2016-05-20,94682,94685,94682,94685,3297
2016-05-23,94690,94695,94685,94690,3163
2016-05-24,94690,94695,94690,94690,798
2016-05-25,94700,94704,94700,94700,1406
2016-05-26,94704,94709,94704,94704,5021
2016-05-27,94709,94714,94704,94709,4763
2016-05-30,94714,94719,94709,94714,6837
2016-05-31,94709,94714,94704,94704,1567
2016-06-01,94714,94724,94714,94719,3129
2016-06-02,94757,94757,94753,94757,5643
2016-06-03,94757,94757,94753,94753,1992
2016-06-07,94762,94772,94762,94767,8735
2016-06-08,94776,94781,94776,94781,5440
2016-06-09,94795,94839,94795,94839,6947
2016-06-10,94839,94839,94834,94834,1203
2016-06-13,94839,94844,94839,94844,10048
2016-06-14,94848,94852,94844,94848,1502
2016-06-15,94848,94852,94844,94844,14382
2016-06-16,94852,94857,94848,94852,5099
2016-06-17,94857,94857,94852,94857,4583
2016-06-20,94857,94857,94848,94848,1586
2016-06-21,94848,94852,94848,94848,1365
2016-06-22,94857,94862,94852,94857,6392
2016-06-23,94862,94867,94857,94867,3022
2016-06-24,94867,94904,94867,94904,13046
2016-06-27,94904,94908,94904,94908,6117
2016-06-28,94913,94913,94908,94913,1596
2016-06-29,94913,94913,94908,94913,2462
2016-06-30,94922,94922,94913,94917,13512
2016-07-01,94926,94931,94922,94926,14350
2016-07-04,94936,94941,94936,94941,3578
2016-07-05,94946,94951,94946,94951,5945
2016-07-06,94960,94960,94956,94956,7899
2016-07-07,94970,94975,94965,94965,2317
2016-07-08,94970,94975,94965,94975,1619
2016-07-11,94970,94975,94970,94970,4185
2016-07-12,94970,94975,94970,94975,4088
2016-07-13,94975,94979,94970,94975,1726
2016-07-14,94983,94988,94979,94988,2898
