날짜,open,high,low,close,volume
2021-04-09,9527,9546,9503,9546,547974
2021-04-12,9597,9629,9582,9619,128931
2021-04-13,9654,9664,9639,9654,128993
2021-04-14,9654,9659,9606,9606,128443
2021-04-15,9582,9606,9573,9601,28704
2021-04-16,9684,9699,9639,9659,157858
2021-04-19,9684,9718,9674,9699,125062
2021-04-20,9659,9664,9611,9629,138355
2021-04-21,9582,9597,9551,9597,116095
2021-04-22,9649,9669,9639,9669,134871
2021-04-23,9624,9629,9592,9592,128195
2021-04-26,9669,9669,9629,9659,98941
2021-04-27,9659,9669,9634,9659,101247
2021-04-28,9679,9684,9659,9674,104972
2021-04-29,9664,9684,9644,9664,104738
2021-04-30,9669,9704,9654,9699,96600
2021-05-03,9708,9783,9708,9783,119840
2021-05-04,9860,9953,9722,9755,153245
2021-05-06,10512,10512,9718,9746,141747
2021-05-07,9783,9807,9760,9783,38215
2021-05-10,9798,9825,9788,9798,130751
2021-05-11,9713,9713,9654,9699,140300
2021-05-12,9699,9699,9611,9649,138693
2021-05-13,9573,9578,9541,9551,135736
2021-05-14,9619,9699,9619,9674,107745
2021-05-17,9736,9815,9736,9807,120540
2021-05-18,9820,9845,9788,9803,117827
2021-05-20,9727,9741,9639,9659,171927
2021-05-21,9736,9755,9722,9750,130283
2021-05-24,9736,9769,9727,9755,127376
2021-05-25,9815,9815,9783,9815,110296
2021-05-26,9793,9793,9718,9732,119935
2021-05-27,9732,9736,9704,9713,104804
2021-05-28,9769,9788,9736,9746,126713
2021-05-31,9736,9755,9689,9704,135197
2021-06-01,9674,9674,9634,9654,104602
2021-06-02,9659,9699,9639,9694,134880
2021-06-03,9699,9732,9699,9727,124364
2021-06-04,9708,9722,9689,9704,135150
2021-06-07,9769,9769,9722,9746,98604
2021-06-08,9746,9788,9741,9779,121205
2021-06-09,9788,9807,9769,9779,118498
2021-06-10,9788,9788,9764,9783,96835
2021-06-11,9793,9793,9764,9779,123540
2021-06-14,9855,9865,9807,9855,136218
