날짜,open,high,low,close,volume
2016-01-04,23754,23754,23211,23319,13864
2016-01-05,23319,23319,23023,23104,3248
2016-01-06,23068,23068,22824,23003,602
2016-01-07,23048,23048,22683,22683,311
2016-01-08,22345,22553,22236,22504,1471
2016-01-11,22711,22711,22117,22286,771
2016-01-12,22315,22389,22281,22281,1796
2016-01-13,22626,22771,22626,22739,857
2016-01-14,22418,22418,21801,22006,1424
2016-01-15,22315,22315,22112,22246,591
2016-01-18,22121,22121,21644,21746,2142
2016-01-19,21678,21806,21644,21806,139
2016-01-20,22121,22121,21310,21310,1225
2016-01-21,21369,21821,21369,21614,357
2016-01-22,21594,21741,21545,21741,460
2016-01-25,21835,22039,21835,21931,776
2016-01-26,22108,22108,21717,21778,92
2016-01-27,21764,21863,21746,21863,211
2016-01-28,21644,21731,21624,21698,431
2016-01-29,21931,21996,21760,21821,65
2016-02-01,21873,22320,21873,22112,1676
2016-02-02,22148,22148,22083,22093,330
2016-02-03,21949,21991,21778,21991,516
2016-02-04,21717,21825,21678,21783,165
2016-02-05,21398,21560,21374,21511,607
2016-02-11,21511,21511,20296,20511,1773
2016-02-12,20592,20844,20592,20788,426
2016-02-15,21159,21310,21122,21310,214
2016-02-16,21374,21708,21374,21708,831
2016-02-17,21751,21764,21614,21644,716
2016-02-18,21931,22370,21931,22300,889
2016-02-19,22310,22310,22121,22221,674
2016-02-22,22216,22350,22216,22320,695
2016-02-23,22466,22471,22375,22384,315
2016-02-24,22216,22231,22135,22168,22
2016-02-25,22466,22504,22466,22504,497
2016-02-26,22509,22726,22509,22726,349
2016-02-29,22888,22888,22504,22504,1029
2016-03-02,22988,23216,22965,23104,692
2016-03-03,22930,22930,22844,22869,2599
2016-03-04,22893,22893,22534,22534,1377
2016-03-07,22578,22578,22389,22452,533
2016-03-08,22375,22389,22315,22379,930
2016-03-09,22325,22504,22325,22499,196
2016-03-10,22509,22509,22340,22345,562
2016-03-11,22509,22509,22276,22310,547
2016-03-14,22761,22761,22300,22379,1396
2016-03-15,22489,22489,22355,22394,425
2016-03-16,22553,22578,22504,22539,217
2016-03-17,22340,22489,22340,22404,2178
2016-03-18,22509,22509,22044,22131,1684
2016-03-21,22509,22509,22083,22135,502
2016-03-22,22266,22305,22044,22093,389
2016-03-23,22206,22261,22173,22261,376
2016-03-24,22261,22261,22163,22187,92
2016-03-25,22192,22345,22192,22345,475
2016-03-28,22360,22408,22310,22310,269
2016-03-29,22163,22178,22117,22131,2042
2016-03-30,22509,22509,22211,22266,740
2016-03-31,22241,22241,22168,22173,1560
2016-04-01,22126,22256,22117,22256,2409
2016-04-04,22404,22509,22404,22504,2126
2016-04-05,23018,23018,22471,22489,494
2016-04-06,22509,22514,22389,22452,238
2016-04-07,22658,22702,22549,22611,1021
2016-04-08,22484,22484,22375,22384,468
2016-04-11,22261,22266,22148,22216,363
2016-04-12,22216,22216,22015,22058,684
2016-04-14,22673,22748,22558,22748,1862
2016-04-15,22739,22739,22616,22626,234
2016-04-18,22558,22558,22438,22466,162
2016-04-19,22593,22644,22471,22529,607
2016-04-20,22163,22206,22078,22206,1329
2016-04-21,22192,22310,22192,22310,239
2016-04-22,22509,22509,22325,22340,25
2016-04-25,22484,22484,22178,22226,1144
2016-04-26,22206,22325,22206,22226,26
2016-04-27,21931,21939,21788,21903,1196
2016-04-28,21903,21977,21708,21708,3592
2016-04-29,21521,21614,21383,21530,2197
2016-05-02,21450,21470,21344,21354,1603
2016-05-03,21741,21741,21450,21506,1959
2016-05-04,21570,21664,21570,21664,293
2016-05-09,21878,21878,21736,21863,839
2016-05-10,21991,22121,21991,22103,780
2016-05-11,22121,22266,22121,22197,1903
2016-05-12,22020,22034,21977,21991,112
2016-05-13,22117,22117,21853,21916,353
2016-05-16,21973,22024,21973,22001,171
2016-05-17,22121,22221,22121,22192,229
2016-05-18,22121,22143,22098,22121,32
2016-05-19,22355,22394,22320,22330,307
2016-05-20,22330,22330,22098,22330,325
2016-05-23,22335,22384,22330,22345,286
2016-05-24,22345,22433,22345,22433,578
2016-05-25,22839,22920,22800,22829,1325
2016-05-26,22864,22940,22824,22883,1695
2016-05-27,22883,22945,22883,22940,2802
2016-05-30,23085,23369,23085,23356,2719
2016-05-31,23173,23384,23173,23384,3959
2016-06-01,23536,23536,23274,23403,2077
2016-06-02,23314,23338,23164,23164,1659
2016-06-03,23903,23903,23221,23231,1446
2016-06-07,23333,23333,22771,22800,1768
2016-06-08,22626,22640,22544,22593,1288
2016-06-09,22878,22878,22549,22573,2462
2016-06-10,22573,22707,22573,22688,1929
2016-06-13,22568,22598,22534,22583,633
2016-06-14,22457,22457,22384,22433,4237
2016-06-15,22462,22558,22462,22484,970
2016-06-16,22335,22335,22182,22221,1349
2016-06-17,22438,22509,22379,22475,1013
2016-06-20,22271,22305,22221,22226,1861
2016-06-21,22631,22631,22073,22083,566
2016-06-22,22058,22058,21996,22049,342
2016-06-23,22049,22054,21996,22029,31309
2016-06-24,22098,22135,21555,21703,3183
2016-06-27,21931,21931,21678,21816,1625
2016-06-28,21649,21654,21535,21575,2038
2016-06-29,21609,21717,21609,21649,1955
2016-06-30,21931,21931,21746,21773,1630
2016-07-01,21931,21931,21903,21903,431
2016-07-04,21903,22058,21903,22058,121
2016-07-05,22058,22103,22058,22083,265
2016-07-06,22083,22121,22039,22121,1569
2016-07-07,22216,22290,22197,22271,203
2016-07-08,21982,22418,21982,22335,808
2016-07-11,22345,22558,22345,22558,753
2016-07-12,22616,22678,22578,22678,389
2016-07-13,22702,22716,22626,22707,572
2016-07-14,22678,22678,22549,22568,290
2016-07-15,22568,22583,22466,22573,86
2016-07-18,22578,22658,22514,22553,94
2016-07-19,22678,22771,22678,22771,245
2016-07-20,22761,22771,22702,22734,480
2016-07-21,22950,23053,22950,22960,538
2016-07-22,22800,22901,22800,22800,980
2016-07-25,22883,23072,22883,22955,787
2016-07-26,22428,23058,22428,23003,1391
2016-07-27,23003,23085,22993,23085,1310
2016-07-28,23085,23085,22920,22920,624
2016-07-29,22920,23033,22819,22819,1481
2016-08-01,22819,22888,22734,22829,495
2016-08-02,22776,22984,22776,22910,232
2016-08-03,22771,22781,22653,22734,863
2016-08-04,22791,22791,22707,22757,397
2016-08-05,22771,22814,22771,22781,834
2016-08-08,23094,23109,22988,23003,766
2016-08-09,22795,22988,22795,22915,1050
2016-08-10,23018,23018,22707,22766,747
2016-08-11,22707,22864,22673,22776,159
2016-08-12,22776,22898,22776,22864,850
2016-08-16,22864,22883,22839,22844,403
2016-08-17,22814,23068,22748,23008,500
2016-08-18,23008,23085,22930,23053,917
2016-08-19,22898,23279,22898,23270,485
2016-08-22,23270,23394,23270,23342,924
2016-08-23,23251,23369,23251,23319,472
2016-08-24,23246,23469,23246,23351,297
2016-08-25,23304,23304,23182,23182,119
2016-08-26,23177,23177,23003,23028,237
2016-08-29,23028,23314,23028,23314,2227
2016-08-30,23333,23333,23159,23270,394
2016-08-31,23202,23211,23134,23144,312
2016-09-01,23144,23294,23119,23294,1717
2016-09-02,23294,23294,23173,23221,434
2016-09-05,23221,23221,23085,23085,725
2016-09-06,23469,23469,22969,23033,190
2016-09-07,23279,23279,22864,22869,376
2016-09-08,22844,22950,22844,22935,45
2016-09-09,22920,22920,22824,22874,831
2016-09-12,22874,22874,22384,22442,1224
2016-09-13,22702,23072,22702,23072,1200
2016-09-19,23085,23450,23072,23379,644
2016-09-20,23379,23379,23216,23255,56
2016-09-21,23251,23422,23177,23422,758
2016-09-22,23422,23469,23094,23236,803
2016-09-23,23309,23422,23309,23417,583
2016-09-26,23903,23903,23211,23274,141
2016-09-27,23236,23241,23048,23089,548
2016-09-28,23164,23164,23077,23085,1010
2016-09-29,23197,23279,23182,23279,283
2016-09-30,23085,23085,22940,22988,341
2016-10-04,23279,23333,23221,23265,1383
2016-10-05,23384,23469,23384,23469,810
2016-10-06,23469,23585,23469,23523,2673
2016-10-07,23523,23546,23417,23450,176
2016-10-10,23469,23499,23333,23361,490
2016-10-11,23361,23722,23361,23722,4126
2016-10-12,23759,23759,23518,23551,196
2016-10-13,23604,23604,23374,23518,700
2016-10-14,23518,23664,23426,23664,391
2016-10-17,23722,23734,23644,23712,253
2016-10-18,23654,23688,23551,23639,445
2016-10-19,23639,23639,23484,23484,654
2016-10-20,23629,23629,23585,23585,106
2016-10-21,23566,23759,23566,23722,13803
2016-10-24,23821,23946,23821,23856,2189
2016-10-25,23950,24294,23950,24211,2302
2016-10-26,23922,23950,23806,23946,347
2016-10-27,23717,23998,23717,23998,183
2016-10-28,24046,24086,23998,23998,14930
2016-10-31,23879,23959,23734,23959,44
2016-11-01,23959,23959,23759,23851,776
2016-11-02,23856,23856,23575,23590,1372
2016-11-03,23459,23459,23182,23182,1525
2016-11-04,23374,23374,23192,23260,44
2016-11-07,23399,23509,23379,23494,1196
2016-11-08,23629,23629,23479,23514,2179
2016-11-09,23124,23664,22844,22869,1767
2016-11-10,23664,24284,23664,24284,1427
2016-11-11,24336,24336,23763,23917,1133
2016-11-14,23917,24327,23917,24313,1276
2016-11-15,24313,24313,23702,23932,1925
2016-11-16,24431,24431,24109,24240,1354
2016-11-17,24240,24529,24240,24529,1602
2016-11-18,24624,24795,24624,24760,881
2016-11-21,24732,24780,24585,24780,427
2016-11-22,24722,24892,24722,24892,287
2016-11-23,24902,24948,24825,24948,432
2016-11-24,24905,24938,24838,24902,605
2016-11-25,24902,24992,24820,24902,375
2016-11-28,24775,24775,24653,24770,889
2016-11-29,24770,24770,24548,24673,76
2016-11-30,24673,24780,24649,24780,2370
2016-12-01,24780,24780,24404,24404,343
2016-12-02,24128,24128,23846,24086,3480
2016-12-05,24810,24810,23959,24128,7632
2016-12-06,24240,24304,24240,24279,163
2016-12-07,24289,24409,24279,24341,864
2016-12-08,24499,24519,24341,24514,343
2016-12-09,24475,24634,24428,24634,362
2016-12-12,24760,24948,24683,24800,506
2016-12-13,24800,24800,24548,24736,486
2016-12-14,24741,25121,24741,25121,718
2016-12-15,25121,25322,25121,25225,396
2016-12-16,25134,25414,25134,25405,748
2016-12-19,25380,25380,25293,25336,2436
2016-12-20,25144,25600,25144,25477,291
2016-12-21,25477,25712,25477,25660,328
2016-12-22,25614,25762,25600,25762,333
2016-12-23,25808,25808,25705,25762,690
2016-12-26,26510,26510,25610,25757,1671
2016-12-27,26164,26164,25722,25930,673
2016-12-28,25930,26105,25930,26095,3446
2016-12-29,26046,26046,25772,25772,806
2017-01-02,25790,25790,25477,25650,583
2017-01-03,25650,25717,25531,25717,2003
2017-01-04,25767,25813,25685,25794,1090
2017-01-05,25675,25675,25497,25497,915
2017-01-06,25477,25685,25472,25628,318
2017-01-09,25675,26263,25675,26263,753
