날짜,open,high,low,close,volume
2016-01-04,19659,19666,19323,19323,8152269
2016-01-05,19288,19515,19288,19446,14613827
2016-01-06,19446,19465,19204,19305,12795940
2016-01-07,19261,19336,19070,19121,13193306
2016-01-08,19005,19275,18965,19254,14421322
2016-01-11,19009,19108,18961,19038,12894108
2016-01-12,19128,19178,18945,18982,13511493
2016-01-13,19070,19292,19066,19249,7373825
2016-01-14,19031,19066,18890,19066,13816987
2016-01-15,19224,19266,18781,18873,17307257
2016-01-18,18674,18888,18609,18855,15698751
2016-01-19,18855,18954,18687,18954,8814095
2016-01-20,18868,18888,18394,18522,21951667
2016-01-21,18529,18666,18465,18475,25488131
2016-01-22,18658,18879,18645,18879,12574348
2016-01-25,18945,19082,18873,18978,8298500
2016-01-26,18873,18890,18635,18740,8371240
2016-01-27,18890,19038,18875,19001,11578644
2016-01-28,18864,19050,18786,19031,10351659
2016-01-29,18968,19062,18855,19057,7100418
2016-02-01,19158,19288,19116,19196,7706167
2016-02-02,19124,19196,19047,19062,5743152
2016-02-03,18868,18883,18758,18847,4566164
2016-02-04,18978,19208,18954,19193,10275331
2016-02-05,19165,19296,19148,19242,8018880
2016-02-11,18831,18855,18679,18724,10594877
2016-02-12,18624,18703,18452,18585,24830801
2016-02-15,18781,18883,18740,18831,13862836
2016-02-16,18847,19144,18847,19104,7077239
2016-02-17,19057,19219,19034,19128,7681425
2016-02-18,19386,19386,19275,19292,8863626
2016-02-19,19257,19351,19257,19331,9982421
2016-02-22,19284,19431,19244,19366,8392790
2016-02-23,19465,19473,19323,19370,6614114
2016-02-24,19345,19421,19266,19351,6187489
2016-02-25,19394,19526,19305,19374,6857441
2016-02-26,19456,19502,19374,19411,7186557
2016-02-29,19361,19481,19331,19389,7188909
2016-03-02,19614,19701,19600,19685,10803972
2016-03-03,19729,19750,19693,19745,12910425
2016-03-04,19745,19799,19708,19750,7853796
2016-03-07,19791,19835,19776,19791,7117066
2016-03-08,19817,19825,19592,19649,7102972
2016-03-09,19614,19739,19584,19739,6207948
2016-03-10,19776,20016,19760,19918,9475804
2016-03-11,19926,20004,19902,19963,7534510
2016-03-14,20077,20077,19930,19946,9618243
2016-03-15,19946,20008,19866,19930,6194816
2016-03-16,19977,20073,19933,19982,6011503
2016-03-17,20068,20262,20055,20093,16104357
2016-03-18,20182,20185,20064,20105,6514933
2016-03-21,20178,20228,20021,20081,4343411
2016-03-22,20129,20182,20090,20182,3990683
2016-03-23,20189,20254,20137,20164,5904352
2016-03-24,20105,20174,20032,20112,5260640
2016-03-25,20151,20157,20068,20077,4399886
2016-03-28,20077,20169,20068,20109,3655653
2016-03-29,20109,20239,20109,20214,8756449
2016-03-30,20304,20355,20285,20304,10173378
2016-03-31,20342,20346,20161,20219,7259042
2016-04-01,20193,20210,19930,19930,6910054
2016-04-04,19946,19991,19902,19967,5335476
2016-04-05,19915,19922,19781,19802,3806381
2016-04-06,19802,19938,19796,19902,6783831
2016-04-07,19977,20016,19835,19915,3838474
2016-04-08,19799,19893,19704,19875,4913098
2016-04-11,19871,19922,19791,19889,5282222
2016-04-12,19893,20059,19878,20046,4455226
2016-04-14,20349,20465,20296,20457,8000941
2016-04-15,20443,20506,20420,20440,9917773
2016-04-18,20293,20389,20254,20372,4192627
2016-04-19,20431,20499,20389,20401,4069159
2016-04-20,20431,20531,20333,20333,4006899
2016-04-21,20424,20535,20407,20490,3764034
2016-04-22,20420,20472,20385,20412,4713934
2016-04-25,20416,20424,20324,20389,4886365
2016-04-26,20385,20521,20368,20448,2538707
2016-04-27,20440,20477,20427,20448,5045404
2016-04-28,20556,20556,20239,20239,9593417
2016-04-29,20239,20259,20087,20173,4740365
2016-05-02,20131,20135,20008,20021,5408516
2016-05-03,20103,20119,20029,20083,5577362
2016-05-04,19986,20039,19920,19977,5077054
2016-05-09,19977,20013,19904,19945,6910238
2016-05-10,19904,20024,19896,20024,4491564
2016-05-11,20087,20091,19904,20004,5589870
2016-05-12,19937,20016,19876,19957,7753368
2016-05-13,19950,19957,19768,19803,4737599
2016-05-16,19749,19884,19733,19831,9525086
2016-05-17,19861,19868,19768,19845,4189355
2016-05-18,19791,19791,19619,19733,7529581
2016-05-19,19669,19718,19644,19678,4995606
2016-05-20,19646,19733,19628,19678,2836725
2016-05-23,19711,19755,19585,19733,3836439
2016-05-24,19707,19707,19589,19593,4213527
2016-05-25,19707,19880,19703,19868,8453294
2016-05-26,19876,19917,19807,19831,7983469
2016-05-27,19864,19940,19826,19932,5451689
2016-05-30,19932,19932,19796,19887,4660672
2016-05-31,19864,20047,19776,20047,5342261
2016-06-01,19986,20087,19940,20060,6106831
2016-06-02,20052,20103,20024,20098,5286125
2016-06-03,20135,20154,20070,20131,5470393
2016-06-07,20161,20411,20161,20400,6700159
2016-06-08,20400,20610,20396,20610,8974094
2016-06-09,20596,20717,20500,20601,11194385
2016-06-10,20588,20593,20513,20513,8578653
2016-06-13,20366,20380,20091,20091,7887299
2016-06-14,20056,20115,19962,20024,5300120
2016-06-15,19986,20094,19932,20016,4652853
2016-06-16,20024,20056,19799,19864,6896224
2016-06-17,19996,20087,19884,19896,8178000
2016-06-20,20083,20205,20070,20173,3977086
2016-06-21,20156,20192,20078,20173,4586051
2016-06-22,20185,20344,20131,20290,3943540
2016-06-23,20286,20330,20246,20301,6205457
2016-06-24,20380,20431,19370,19646,22675684
2016-06-27,19605,19711,19538,19703,17888067
2016-06-28,19514,19814,19497,19753,14296304
2016-06-29,19852,20087,19807,19986,7425036
2016-06-30,20091,20131,19977,20131,6596629
2016-07-01,20149,20357,20135,20298,8709181
2016-07-04,20298,20400,20263,20366,5955239
2016-07-05,20344,20380,20281,20344,5400516
2016-07-06,20259,20259,19845,19932,12757034
2016-07-07,20035,20196,19982,20161,9620260
2016-07-08,20111,20210,20004,20056,4313926
2016-07-11,20246,20400,20246,20354,6708653
2016-07-12,20384,20469,20298,20354,8371164
2016-07-13,20509,20593,20406,20491,12553327
2016-07-14,20473,20571,20452,20528,8463239
2016-07-15,20624,20713,20562,20633,9384648
2016-07-18,20641,20713,20629,20666,5456371
2016-07-19,20697,20697,20588,20641,4086007
2016-07-20,20633,20633,20495,20605,4570954
2016-07-21,20682,20697,20580,20624,1912617
2016-07-22,20537,20644,20482,20613,1903801
2016-07-25,20663,20710,20580,20624,3545898
2016-07-26,20605,20819,20580,20805,2969882
2016-07-27,20802,20855,20788,20793,3740966
2016-07-28,20802,20843,20692,20744,3741617
2016-07-29,20740,20869,20701,20728,3320725
2016-08-01,20802,20914,20802,20900,5976476
2016-08-02,20843,20852,20724,20736,3503430
2016-08-03,20596,20613,20460,20473,4553734
2016-08-04,20596,20601,20465,20518,3311388
2016-08-05,20571,20754,20560,20740,4645755
2016-08-08,20883,20940,20788,20900,8608001
2016-08-09,20940,21092,20910,21059,9817425
2016-08-10,21029,21088,20991,20991,10472854
2016-08-11,20991,21020,20926,21015,5543687
2016-08-12,21080,21215,21053,21088,4176320
2016-08-16,21159,21219,21075,21075,3759153
2016-08-17,21048,21096,20970,21059,3464199
2016-08-18,21070,21219,21043,21211,4169183
2016-08-19,21239,21270,21184,21262,4166759
2016-08-22,21229,21251,21128,21139,3329273
2016-08-23,21154,21251,21154,21251,2244454
2016-08-24,21241,21258,21120,21150,3804102
2016-08-25,21143,21219,21070,21189,3946783
2016-08-26,21120,21128,21003,21106,2865304
2016-08-29,20970,21131,20940,21111,2559955
2016-08-30,21175,21307,21167,21197,5062162
2016-08-31,21197,21200,21070,21120,2966328
2016-09-01,21011,21061,20905,21061,4706107
2016-09-02,21065,21106,21029,21106,3800317
2016-09-05,21224,21377,21206,21374,6139181
2016-09-06,21362,21457,21362,21453,6445451
2016-09-07,21457,21571,21412,21412,5631040
2016-09-08,21466,21513,21362,21408,6061429
2016-09-09,21267,21284,21101,21154,6059831
2016-09-12,20814,20887,20624,20624,10459298
2016-09-13,20883,20883,20697,20697,9259032
2016-09-19,20710,20926,20682,20914,3401481
2016-09-20,20833,20958,20819,20945,4315341
2016-09-21,20926,21084,20918,21084,2956290
2016-09-22,21234,21355,21219,21270,4376072
2016-09-23,21327,21327,21219,21255,5955211
2016-09-26,21251,21340,21150,21184,3686567
2016-09-27,21111,21369,21007,21327,3933158
2016-09-28,21303,21322,21241,21267,1618557
2016-09-29,21359,21478,21355,21416,4770884
2016-09-30,21289,21311,21170,21184,3870990
2016-10-04,21307,21369,21267,21307,2746401
2016-10-05,21159,21345,21106,21295,2826003
2016-10-06,21457,21486,21355,21444,2743863
2016-10-07,21423,21473,21369,21377,4639252
2016-10-10,21315,21444,21219,21412,2480117
2016-10-11,21369,21439,21096,21116,5809390
2016-10-12,20994,21143,20983,21096,7772262
2016-10-13,21061,21092,20881,20914,6516084
2016-10-14,20962,21070,20958,21020,4684838
2016-10-17,21043,21128,20877,21053,4524902
2016-10-18,21080,21211,21059,21197,3621257
2016-10-19,21170,21336,21150,21219,3350997
2016-10-20,21251,21332,21224,21241,3184873
2016-10-21,21224,21267,21131,21139,2585234
2016-10-24,21234,21322,21219,21300,2786279
2016-10-25,21279,21311,21229,21267,3191847
2016-10-26,21175,21175,20918,21007,8639601
2016-10-27,21080,21143,21041,21101,7332724
2016-10-28,21084,21180,21065,21116,3583405
2016-10-31,21034,21128,20988,21070,3548115
2016-11-01,21061,21092,20877,21080,5197513
2016-11-02,20926,20966,20805,20805,8466189
2016-11-03,20788,20896,20736,20877,9717186
2016-11-04,20823,20877,20772,20802,6389214
2016-11-07,21041,21048,20934,21003,4315954
2016-11-08,21096,21096,20934,21048,4926898
2016-11-09,21106,21184,20335,20617,22253892
2016-11-10,20892,21037,20852,21025,20464528
2016-11-11,20887,20914,20763,20814,7267799
2016-11-14,20776,20814,20620,20648,5874160
2016-11-15,20620,20687,20566,20576,4663033
2016-11-16,20677,20724,20629,20648,4058973
2016-11-17,20580,20663,20495,20637,3552918
2016-11-18,20677,20682,20542,20629,3563286
2016-11-21,20580,20659,20547,20588,3038913
2016-11-22,20666,20847,20656,20823,3002782
2016-11-23,20823,20983,20802,20900,5828996
2016-11-24,20873,20914,20736,20793,5850095
2016-11-25,20833,20855,20768,20802,3056330
2016-11-28,20810,20896,20677,20865,3792251
2016-11-29,20865,20910,20823,20873,6760840
2016-11-30,20877,21020,20869,20974,4263273
2016-12-01,20994,21034,20940,20991,6010500
2016-12-02,20900,20940,20805,20843,4965656
2016-12-05,20827,20860,20744,20819,7360348
2016-12-06,20966,21111,20966,21065,5924651
2016-12-07,21128,21159,21080,21128,10025365
2016-12-08,21303,21486,21303,21486,13105456
2016-12-09,21481,21517,21435,21500,10060782
2016-12-12,21571,21571,21412,21471,6929329
2016-12-13,21462,21528,21444,21513,6058524
2016-12-14,21595,21656,21504,21532,5877640
2016-12-15,21377,21575,21369,21524,4538818
2016-12-16,21517,21603,21491,21578,5411919
2016-12-19,21517,21634,21517,21595,3828269
2016-12-20,21616,21674,21603,21643,3437211
2016-12-21,21681,21757,21616,21616,4655515
2016-12-22,21631,21656,21586,21603,3857314
2016-12-23,21599,21608,21553,21575,6128884
2016-12-26,21599,21622,21571,21616,3353960
2016-12-27,21603,21661,21603,21648,2885618
2016-12-28,21674,21772,21674,21719,11761774
2016-12-29,21693,21741,21661,21731,7230538
2017-01-02,21727,21861,21652,21804,2052815
2017-01-03,21861,21976,21835,21976,4421696
2017-01-04,21967,22008,21955,22001,5255479
2017-01-05,21976,21997,21905,21914,7944800
2017-01-06,21963,22052,21959,22008,3743987
2017-01-09,22038,22098,22016,22065,3491281
2017-01-10,21993,22070,21984,22033,6046315
2017-01-11,22065,22500,22065,22430,4177255
2017-01-12,22460,22533,22430,22486,4193807
