날짜,open,high,low,close,volume
2019-01-22,12345,12345,12185,12265,40025
2019-01-23,12165,12255,12140,12220,1080458
2019-01-24,12310,12530,12310,12530,20086
2019-01-25,12570,12815,12555,12815,190051
2019-01-28,12835,12835,12705,12705,381203
2019-01-29,12675,12775,12610,12775,599227
2019-01-30,12775,13035,12765,12985,727210
2019-01-31,13155,13170,13005,13005,1003349
2019-02-01,13055,13225,13055,13115,998546
2019-02-07,13170,13215,13115,13120,797212
2019-02-08,12995,12995,12830,12830,977860
2019-02-11,12815,12840,12695,12830,843192
2019-02-12,12850,12985,12805,12930,934699
2019-02-13,13010,13065,12985,13010,825295
2019-02-14,13000,13120,12905,13120,925022
2019-02-15,13055,13055,12820,12865,928369
2019-02-18,12930,12980,12900,12900,917516
2019-02-19,12895,12895,12750,12840,904623
2019-02-20,12925,13060,12905,12990,924885
2019-02-21,13005,13100,12925,13070,937631
2019-02-22,13040,13115,12980,13115,928074
2019-02-25,13160,13180,13050,13070,912051
2019-02-26,13085,13085,12935,12995,888731
2019-02-27,13050,13060,12985,13015,1058694
2019-02-28,12950,12950,12745,12745,783445
2019-03-04,12850,12855,12600,12615,760600
2019-03-05,12560,12590,12450,12505,751722
2019-03-06,12480,12505,12440,12500,707879
2019-03-07,12465,12545,12450,12480,759412
2019-03-08,12440,12450,12295,12300,814286
2019-03-11,12390,12390,12295,12345,605691
2019-03-12,12450,12515,12435,12510,620731
2019-03-13,12465,12465,12270,12355,614315
2019-03-14,12400,12430,12290,12410,562098
2019-03-15,12385,12560,12380,12560,604316
2019-03-18,12565,12600,12495,12530,762719
2019-03-19,12530,12570,12465,12545,903806
2019-03-20,12555,12650,12445,12625,873486
2019-03-21,12725,12970,12725,12895,820258
2019-03-22,13065,13065,12920,12980,874139
2019-03-25,12675,12720,12645,12680,9123
2019-03-26,12640,12640,12585,12630,583
2019-03-27,12520,12680,12520,12680,347
2019-03-28,12565,12620,12535,12575,282
2019-03-29,12580,12625,12565,12590,492
2019-04-01,12780,12920,12780,12875,41548
2019-04-02,13010,13045,12965,12985,339
2019-04-03,13010,13250,12990,13250,832
2019-04-04,13245,13340,13200,13200,716
2019-04-05,13245,13290,13245,13280,172
2019-04-08,13285,13285,13185,13210,870
2019-04-09,13185,13245,13160,13220,118
2019-04-10,13110,13265,13110,13265,318
2019-04-11,13275,13275,13180,13210,347
2019-04-12,13205,13225,13155,13225,62
2019-04-15,13305,13380,13305,13345,56
2019-04-16,13365,13425,13350,13425,59
2019-04-17,13415,13415,13400,13405,15
2019-04-18,13450,13465,13255,13255,216
2019-04-19,13285,13285,13255,13280,124
2019-04-22,13245,13280,13140,13190,963
2019-04-23,13235,13260,13235,13260,53
2019-04-24,13270,13270,13030,13105,175
2019-04-25,13080,13220,13080,13195,362
2019-04-26,13170,13170,13000,13055,134
2019-04-29,13105,13265,13075,13260,109610
2019-04-30,13275,13275,13090,13205,2340
2019-05-02,13200,13295,13195,13295,190
2019-05-03,13235,13235,13190,13190,91
2019-05-07,13095,13120,13015,13120,86
2019-05-08,12980,13105,12980,13070,83
2019-05-09,13000,13000,12620,12620,252
2019-05-10,12670,12745,12570,12615,60883
2019-05-13,12595,12595,12495,12510,75
2019-05-14,12380,12520,12380,12495,120
2019-05-15,12480,12570,12480,12525,17
2019-05-16,12525,12525,12325,12325,56
2019-05-17,12395,12395,12250,12250,27
2019-05-20,12375,12400,12330,12360,102
2019-05-21,12445,12445,12445,12445,5
2019-05-22,12340,12450,12305,12405,129
2019-05-23,12375,12425,12360,12405,142
2019-05-24,12305,12335,12275,12335,326
2019-05-27,12355,12355,12295,12335,479
2019-05-28,12300,12355,12285,12310,220
2019-05-29,12130,12165,12070,12165,107155
2019-05-30,12175,12255,12165,12255,74226
2019-05-31,12105,12205,12105,12175,120133
2019-06-03,12175,12420,12175,12420,120105
2019-06-04,12385,12405,12335,12355,174118
2019-06-05,12445,12445,12330,12365,112014
2019-06-07,12270,12410,12270,12370,90880
2019-06-10,12460,12560,12460,12560,614
2019-06-11,12540,12590,12515,12580,41
2019-06-12,12570,12570,12470,12500,50
2019-06-13,12400,12400,12215,12310,149
2019-06-14,12310,12310,12265,12300,46
2019-06-17,12280,12310,12235,12280,264
2019-06-18,12355,12355,12315,12350,90
2019-06-19,12585,12590,12530,12590,104
2019-06-20,12560,12560,12500,12550,639
2019-06-21,12550,12550,12495,12545,17247
2019-06-24,12545,12585,12520,12570,178
2019-06-25,12545,12565,12515,12565,813
2019-06-26,12615,12665,12580,12665,26807
2019-06-27,12705,12845,12705,12830,23654
2019-06-28,12860,12860,12755,12835,32782
2019-07-01,12930,12930,12830,12890,29255
2019-07-02,12765,12860,12765,12830,143
2019-07-03,12765,12765,12585,12605,272
2019-07-04,12665,12780,12645,12775,151
2019-07-05,12750,12755,12670,12685,461
2019-07-08,12525,12525,12425,12455,110185
2019-07-09,12550,12605,12520,12545,140
2019-07-10,12670,12735,12670,12685,193
2019-07-11,12765,12890,12765,12880,698
2019-07-12,12850,12900,12850,12890,32
2019-07-15,12835,12965,12835,12955,380
2019-07-16,12905,12970,12900,12960,12
2019-07-17,12830,12850,12795,12845,2696
2019-07-18,12800,12810,12740,12810,2991
2019-07-19,12880,13045,12880,13025,601
2019-07-22,13015,13075,13015,13075,6
2019-07-23,13100,13185,13100,13170,4477
2019-07-24,13140,13195,12980,13010,10000043
2019-07-25,13090,13090,12945,13025,5923
2019-07-26,12915,12995,12875,12995,72
2019-07-29,12985,12985,12720,12750,198
2019-07-30,12810,12840,12795,12835,10239
2019-07-31,12770,12785,12595,12655,20312
2019-08-01,12590,12695,12545,12670,107
2019-08-02,12555,12555,12405,12460,728
2019-08-05,12415,12415,12260,12310,447
2019-08-06,12100,12150,12035,12100,891
2019-08-07,12110,12120,12045,12065,636
2019-08-08,12115,12125,11990,11990,834
2019-08-09,12100,12150,12070,12100,1118
2019-08-12,12100,12155,12100,12130,69
2019-08-13,12110,12110,11960,11985,2000434
2019-08-14,12160,12190,12125,12130,47
2019-08-16,12000,12125,11970,12125,129
2019-08-19,12150,12150,12115,12130,65
2019-08-20,12185,12250,12175,12250,59
2019-08-21,12205,12240,12195,12215,133
2019-08-22,12150,12150,12085,12085,1000243
2019-08-23,12045,12135,12045,12095,232
2019-08-26,11970,11970,11855,11905,267
2019-08-27,11980,12020,11920,11970,22
2019-08-28,12020,12040,11990,12040,1347
2019-08-29,12040,12040,11950,11985,57
