날짜,open,high,low,close,volume
2023-02-01,49433,49522,49433,49482,3504
2023-02-02,49542,49606,49502,49591,41858
2023-02-03,49670,49848,49655,49813,17943
2023-02-06,49754,49754,49389,49468,68257
2023-02-07,49290,49473,49265,49418,18561
2023-02-08,49487,49497,49413,49423,23950
2023-02-09,49512,49512,49394,49394,24300
2023-02-10,49339,49418,49295,49394,24267
2023-02-13,49275,49290,49166,49171,27644
2023-02-14,49339,49374,49290,49369,25756
2023-02-15,49310,49310,49236,49265,21338
2023-02-16,49176,49359,49107,49250,25698
2023-02-17,49102,49102,48781,48836,33103
2023-02-20,48979,48979,48821,48821,544093
2023-02-21,48831,48885,48722,48885,19228
2023-02-22,48678,48757,48638,48747,29741
2023-02-23,48816,48880,48757,48865,31187
2023-02-24,48949,49058,48944,49058,30385
2023-02-27,49058,49058,48870,48920,24894
2023-02-28,48831,48831,48569,48569,8562
2023-03-02,48470,48549,48372,48401,1153
2023-03-03,48352,48534,48278,48490,234
2023-03-06,48712,48737,48623,48623,675
2023-03-07,48628,48776,48628,48776,43
2023-03-08,48628,48658,48604,48613,222
2023-03-09,48648,48653,48594,48594,308
2023-03-10,48890,48989,48816,48974,1119
2023-03-13,49300,49413,49245,49413,243
2023-03-14,49764,49828,49611,49675,1221
2023-03-15,49305,49502,49305,49399,1117
2023-03-16,49759,49759,49532,49532,856
2023-03-17,49359,49428,49354,49418,103012
2023-03-20,49527,49640,49453,49640,4609
2023-03-21,49601,49828,49601,49680,4428
2023-03-22,49650,49754,49640,49744,12696
2023-03-23,49789,49877,49744,49877,48
2023-03-24,49868,50040,49843,50011,42
2023-03-27,49996,50095,49877,49877,296
2023-03-28,49833,49877,49764,49764,972
2023-03-29,49734,49828,49655,49828,117
2023-03-30,49808,49808,49734,49734,618
2023-03-31,49690,49695,49665,49665,211
2023-04-03,49522,49581,49507,49507,1400
2023-04-04,49690,49695,49665,49695,1887
2023-04-05,49798,49828,49739,49739,99
2023-04-06,49798,49902,49779,49897,2330
2023-04-07,49927,49927,49853,49892,871
2023-04-10,49863,49981,49828,49981,333
2023-04-11,50016,50016,49952,49956,463
2023-04-12,49961,49961,49956,49956,56
2023-04-13,49956,49956,49863,49907,270
2023-04-14,49942,49961,49942,49961,182
2023-04-17,49813,49843,49769,49789,102
2023-04-18,49789,49838,49739,49808,5412
2023-04-19,49764,49794,49744,49789,223
2023-04-20,49719,49719,49650,49705,228
2023-04-21,49744,49838,49744,49838,14
2023-04-24,49848,49907,49833,49897,189
2023-04-25,49942,49942,49838,49873,217
2023-04-26,49947,49966,49897,49937,11363
2023-04-27,49892,49907,49833,49833,1287
2023-04-28,49705,49774,49665,49754,10372
2023-05-02,49690,49729,49675,49729,215
2023-05-03,49833,49868,49833,49838,162
2023-05-04,49952,49976,49927,49976,197
2023-05-08,49892,49892,49868,49873,340
2023-05-09,49823,49892,49779,49892,158
2023-05-10,49882,49882,49848,49858,4261
2023-05-11,49976,49981,49937,49956,104
2023-05-12,49981,50095,49966,50011,4427
2023-05-15,50016,50016,49868,49873,1383
2023-05-16,49843,49907,49828,49907,378
2023-05-17,49892,49902,49877,49902,41
2023-05-18,49848,49848,49769,49803,163
2023-05-19,49670,49670,49621,49660,208
2023-05-22,49724,49759,49680,49734,263
2023-05-23,49675,49675,49566,49566,4247
2023-05-24,49557,49596,49522,49522,92
2023-05-25,49482,49482,49255,49334,318
2023-05-26,49206,49206,49112,49157,266
2023-05-30,49004,49152,49004,49097,206
2023-05-31,49196,50361,49196,49374,26397
2023-06-01,49418,49418,49349,49364,220
2023-06-02,49418,49487,49418,49478,335
2023-06-05,49364,49384,49349,49349,72
2023-06-07,49389,49497,49354,49448,1177
2023-06-08,49255,49260,49216,49231,94
2023-06-09,49329,49329,49255,49270,126
2023-06-12,49236,49305,49236,49305,48
2023-06-13,49329,49408,49329,49374,43
2023-06-14,49221,49241,49142,49211,204
2023-06-15,49270,49270,49102,49166,12225
2023-06-16,49265,49265,49191,49206,650
2023-06-19,49221,49241,49176,49216,633
2023-06-20,49275,49275,49241,49250,54
2023-06-21,49295,49315,49295,49295,48
2023-06-22,49315,49315,49245,49260,1487
2023-06-23,49166,49201,49152,49166,2601
2023-06-26,49206,49329,49186,49329,42
2023-06-27,49379,49394,49354,49354,231
2023-06-28,49349,49354,49344,49344,182
