날짜,open,high,low,close,volume
2024-07-09,10033,10058,10013,10038,1409629
2024-07-10,10023,10118,10023,10093,1551952
2024-07-11,10222,10252,10177,10222,1485790
2024-07-12,10192,10192,10093,10138,898988
2024-07-15,10142,10442,10142,10302,1211686
2024-07-16,10207,10232,10152,10182,1171439
2024-07-17,10182,10192,10093,10098,1190323
2024-07-18,9655,9665,9420,9480,1285397
2024-07-19,9485,9555,9480,9500,828924
2024-07-22,9540,9595,9510,9595,888348
2024-07-23,9829,9829,9745,9804,961225
2024-07-24,9909,9909,9829,9829,1007731
2024-07-25,9272,9350,9167,9297,1769426
2024-07-26,9132,9132,8984,9048,1542507
2024-07-29,9162,9287,9162,9232,876487
2024-07-30,9227,9227,9152,9212,783815
2024-07-31,9018,9307,9018,9277,898980
2024-08-01,9750,9750,9550,9580,888129
2024-08-02,9257,9257,9018,9023,1010550
2024-08-05,8630,8904,7967,8116,859533
2024-08-06,8415,8759,8146,8585,1039843
2024-08-07,8784,8944,8744,8839,701005
2024-08-08,8550,8859,8550,8839,767957
2024-08-09,9082,9292,9082,9247,807987
2024-08-12,9212,9287,9177,9267,225148
2024-08-13,9267,9267,9063,9192,1064011
2024-08-14,9455,9515,9355,9375,332659
2024-08-16,9545,9650,9430,9590,1000818
2024-08-19,9560,9560,9302,9321,210073
2024-08-20,9655,9655,9326,9350,258292
2024-08-21,9341,9341,9242,9326,211615
2024-08-22,9395,9450,9395,9430,215572
2024-08-23,9390,9395,9355,9380,225890
2024-08-26,9420,9420,9350,9370,236368
2024-08-27,9370,9370,9282,9331,247277
2024-08-28,9331,9450,9331,9430,255325
2024-08-29,9277,9365,9262,9292,417402
2024-08-30,9317,9455,9317,9440,187921
2024-09-02,9545,9665,9545,9655,237217
2024-09-03,9695,9695,9620,9665,189503
2024-09-04,9222,9257,9004,9004,334742
2024-09-05,9097,9097,8969,8989,205827
2024-09-06,8989,8994,8789,8789,681132
2024-09-09,8759,8779,8710,8759,205203
2024-09-10,8974,8974,8939,8969,194501
2024-09-11,9252,9252,9028,9028,216496
2024-09-12,9207,9510,9207,9375,288974
2024-09-13,9440,9600,9440,9550,286412
2024-09-19,9824,9964,9755,9954,970815
2024-09-20,10162,10317,10118,10292,518574
2024-09-23,10765,10820,10720,10805,767917
2024-09-24,10899,10899,10815,10825,458998
2024-09-25,10825,10825,10720,10760,327349
2024-09-26,10984,11049,10964,11034,439215
2024-09-27,11019,11019,10760,10830,338871
2024-09-30,10785,10785,10566,10620,344067
2024-10-02,10635,10875,10635,10740,363531
2024-10-04,11029,11104,10949,11074,322021
2024-10-07,11352,11517,11352,11517,326813
2024-10-08,11397,11462,11352,11457,275457
2024-10-10,11457,11572,11417,11572,291687
2024-10-11,11512,11527,11467,11512,311002
2024-10-14,11572,11854,11572,11854,426151
2024-10-15,11884,11914,11864,11894,503973
2024-10-16,11537,11647,11537,11647,290659
2024-10-17,11904,12174,11904,12039,621424
2024-10-18,12079,12164,11964,12014,541736
2024-10-21,12069,12069,11904,12014,411079
2024-10-22,12034,12164,11984,12164,436013
2024-10-23,11939,11979,11914,11954,376057
2024-10-24,11854,11854,11795,11839,305877
2024-10-25,11849,12064,11849,12064,352962
2024-10-28,12009,12039,11984,12039,347909
2024-10-29,12054,12054,11939,12044,345946
2024-10-30,12139,12139,12044,12084,321437
2024-10-31,11944,11944,11805,11835,478534
2024-11-01,11770,11770,11597,11721,237646
2024-11-04,11726,11726,11577,11617,266893
2024-11-05,11452,11452,11342,11397,308639
2024-11-06,11780,12149,11780,12149,441701
2024-11-07,12522,12692,12423,12582,1684720
2024-11-08,12622,12697,12567,12627,650620
2024-11-11,13159,13159,12706,12875,799593
2024-11-12,12860,12950,12771,12950,867894
2024-11-13,12840,12840,12517,12597,894097
2024-11-14,12741,12781,12577,12637,681631
2024-11-15,12497,12512,12299,12379,678093
2024-11-18,12369,12369,12204,12289,441898
2024-11-19,12289,12472,12289,12433,293259
2024-11-20,12771,12835,12761,12806,521836
2024-11-21,12806,12870,12806,12830,441308
2024-11-22,13249,13309,12980,13304,739542
2024-11-25,13399,13484,13319,13479,751077
2024-11-26,13070,13154,13050,13139,984474
2024-11-27,13404,13404,13309,13364,870094
