날짜,open,high,low,close,volume
2016-01-04,15969,15969,15466,15471,6904
2016-01-05,15461,15575,15461,15578,56
2016-01-06,15575,15575,15476,15522,172
2016-01-07,15495,15495,15277,15303,114
2016-01-08,15088,15318,15088,15322,97
2016-01-11,15229,15229,14932,14935,120
2016-01-12,14976,15001,14684,14744,2202
2016-01-13,14866,14927,14804,14930,254
2016-01-14,14675,15008,14675,14982,98
2016-01-15,15180,15199,14915,14968,203
2016-01-18,14613,14851,14613,14836,66
2016-01-19,14832,15070,14832,15075,604
2016-01-20,15060,15060,14627,14697,385
2016-01-21,14527,14755,14527,14628,992
2016-01-22,14812,14812,14613,14735,438
2016-01-25,14917,14997,14828,15002,1172
2016-01-26,14948,14948,14792,14797,96
2016-01-27,14818,14917,14818,14921,3249
2016-01-28,14889,14889,14759,14865,197
2016-01-29,14874,14874,14627,14827,266
2016-02-01,14934,15106,14879,15099,7836
2016-02-02,15239,15239,15105,15140,857
2016-02-03,15006,15006,14810,14889,80
2016-02-04,14953,14953,14891,14894,207
2016-02-05,14852,14917,14838,14921,85
2016-02-11,14293,14427,14122,14143,1321
2016-02-12,14019,14019,13798,13907,1284
2016-02-15,14077,14270,14077,14274,849
2016-02-16,14328,14564,14328,14562,83
2016-02-17,14695,14695,14522,14643,47
2016-02-18,14822,14994,14822,14968,194
2016-02-19,15014,15062,14890,15066,76
2016-02-22,15075,15126,15056,15112,323
2016-02-23,15276,15276,15065,15070,127
2016-02-24,15127,15378,15127,15341,1829
2016-02-25,15420,15532,15398,15444,332
2016-02-26,15508,15508,15387,15457,173
2016-02-29,15474,15513,15462,15471,110
2016-03-02,15738,15849,15738,15840,330
2016-03-03,15948,15948,15696,15854,507
2016-03-04,15851,15854,15788,15854,343
2016-03-07,15885,15885,15708,15715,539
2016-03-08,15708,15708,15457,15574,255
2016-03-09,15509,15509,15364,15480,290
2016-03-10,15603,15757,15589,15761,84
2016-03-11,15763,15793,15700,15771,118
2016-03-14,15964,15964,15650,15666,11336
2016-03-15,15717,15787,15608,15611,43
2016-03-16,15639,15639,15561,15564,6
2016-03-17,15749,15842,15663,15771,1071
2016-03-18,15854,15858,15630,15696,617
2016-03-21,15802,15802,15618,15621,83
2016-03-22,15671,15713,15671,15715,16
2016-03-23,15792,15792,15728,15751,41
2016-03-24,15709,15709,15507,15514,64
2016-03-25,15569,15583,15522,15586,24
2016-03-28,15583,15583,15496,15500,8
2016-03-29,15639,15661,15561,15564,236
2016-03-30,15767,15767,15647,15654,192
2016-03-31,15738,15738,15659,15742,81
2016-04-01,15808,15808,15768,15771,11
2016-04-04,15728,15808,15728,15813,387
2016-04-05,15792,15792,15662,15666,477
2016-04-06,15650,15662,15650,15666,936
2016-04-07,15807,15807,15662,15666,38
2016-04-08,15649,15649,15551,15636,119
2016-04-11,15727,15727,15603,15606,111
2016-04-12,15682,15707,15682,15701,511
2016-04-14,15859,15877,15789,15799,364
2016-04-15,15840,15840,15728,15813,459
2016-04-18,15885,15885,15808,15813,6
2016-04-19,15793,15798,15686,15803,164
2016-04-20,15779,15837,15779,15840,65
2016-04-21,15881,15881,15837,15845,74
2016-04-22,15849,15849,15748,15766,339
2016-04-25,15822,15822,15748,15751,160
2016-04-26,15788,15944,15788,15948,609
2016-04-27,16013,16013,15864,15877,59
2016-04-28,15891,15891,15702,15708,416
2016-04-29,15706,15706,15611,15704,99
2016-05-02,15702,15702,15492,15571,170
2016-05-03,15628,15642,15591,15613,40
2016-05-04,15643,15643,15492,15510,128
2016-05-09,15441,15449,15283,15285,196
2016-05-10,15276,15380,15228,15383,551
2016-05-11,15416,15416,15262,15293,24
2016-05-12,15203,15227,15162,15165,92
2016-05-13,15179,15193,15134,15175,22
2016-05-16,15237,15237,15171,15185,14
2016-05-17,15171,15171,15171,15175,1
2016-05-18,15159,15159,15011,15137,272
2016-05-19,15095,15095,15016,15020,35
2016-05-20,15089,15089,14992,15076,93
2016-05-23,15197,15197,15190,15194,78
2016-05-24,15289,15289,15225,15261,596
2016-05-25,15354,15477,15308,15481,217
2016-05-26,15528,15528,15448,15453,1608
2016-05-27,15447,15594,15447,15584,873
2016-05-30,15610,15706,15610,15664,5760
2016-05-31,15676,15772,15544,15775,658
2016-06-01,15727,15978,15727,15981,3814
2016-06-02,16015,16094,15935,15986,2023
2016-06-03,16081,16081,15982,16038,418
2016-06-07,16123,16204,16118,16208,553
2016-06-08,16329,16329,16107,16165,446
2016-06-09,16159,16278,16128,16132,1639
