날짜,open,high,low,close,volume
2018-09-12,9868,9873,9539,9635,587018
2018-09-13,9622,9735,9548,9635,597842
2018-09-14,9673,9784,9648,9743,567417
2018-09-17,9825,9848,9747,9841,493182
2018-09-18,9764,10049,9749,10043,510178
2018-09-19,10107,10107,9961,9983,605445
2018-09-20,9922,9961,9743,9778,631138
2018-09-21,9808,9833,9727,9802,642824
2018-09-27,9799,10039,9799,10018,680652
2018-09-28,10057,10161,9829,9929,550609
2018-10-01,9985,9985,9785,9846,597934
2018-10-02,9907,9955,9662,9683,620660
2018-10-04,9680,9685,9480,9575,608266
2018-10-05,9529,9529,9150,9256,660546
2018-10-08,9210,9421,9150,9217,640045
2018-10-10,9258,9258,8959,9163,660409
2018-10-11,8769,8948,8659,8691,579679
2018-10-12,8674,9173,8674,9158,623609
2018-10-15,9173,9302,9097,9138,625704
2018-10-16,9245,9327,9175,9251,589775
2018-10-17,9411,9490,9240,9369,669737
2018-10-18,9366,9366,9220,9271,614681
2018-10-19,9127,9322,9048,9320,604365
2018-10-22,9254,9515,9194,9517,570477
2018-10-23,9514,9514,8993,9088,676177
2018-10-24,9232,9232,8664,8756,672287
2018-10-25,8425,8887,8425,8794,653925
2018-10-26,8973,8973,8309,8579,633089
2018-10-29,8710,8788,8268,8306,625029
2018-10-30,8201,8583,8166,8564,689842
2018-10-31,8658,8658,8417,8623,611764
2018-11-01,8691,8909,8605,8667,402765
2018-11-02,8781,9018,8751,9022,369670
2018-11-05,8915,8986,8840,8982,329045
2018-11-06,9036,9041,8771,8883,380653
2018-11-07,8893,8948,8697,8726,359447
2018-11-08,8895,9090,8890,8957,386374
2018-11-09,8956,9000,8741,8794,368917
2018-11-12,8673,8764,8659,8721,598298
2018-11-13,8511,8742,8328,8746,586390
2018-11-14,8711,8770,8645,8667,320788
2018-11-15,8624,8761,8550,8765,306810
2018-11-16,8819,8858,8659,8686,360720
2018-11-19,8712,8819,8669,8731,432362
2018-11-20,8608,8663,8437,8469,357513
2018-11-21,8299,8517,8235,8519,339999
2018-11-22,8543,8543,8372,8436,404432
2018-11-23,8457,8472,8070,8122,371244
2018-11-26,8064,8254,8064,8235,361159
2018-11-27,8288,8365,8155,8351,356937
2018-11-28,8348,8352,8177,8225,325388
2018-11-29,8352,8352,8167,8170,343503
2018-11-30,8207,8298,8207,8215,315033
2018-12-03,8309,8475,8304,8469,420020
2018-12-04,8464,8469,8308,8361,646467
2018-12-05,8192,8263,8157,8220,1801302
2018-12-06,8206,8206,7903,7935,736450
2018-12-07,7986,8053,7913,8004,555196
2018-12-10,7922,7922,7614,7675,577898
2018-12-11,7710,7759,7632,7636,535509
2018-12-12,7691,7881,7691,7860,570587
2018-12-13,7920,7984,7858,7910,529919
2018-12-14,7898,7918,7589,7660,553081
2018-12-17,7635,7660,7514,7606,534432
2018-12-18,7464,7561,7416,7472,544223
2018-12-19,7504,7833,7504,7798,584726
2018-12-20,7717,7793,7622,7743,513538
2018-12-21,7711,8087,7706,8014,585173
2018-12-24,7969,7999,7863,7915,537437
2018-12-26,7726,7906,7716,7865,555361
2018-12-27,8137,8137,7956,7990,552230
2018-12-28,7991,8072,7908,8009,576711
2019-01-02,8089,8089,7668,7709,52604
2019-01-03,7735,7735,7411,7438,42208
2019-01-04,7381,7435,7263,7438,31943
2019-01-07,7627,7833,7627,7803,57884
2019-01-08,7848,7848,7703,7734,23218
2019-01-09,7751,7994,7751,7965,26835
2019-01-10,7961,8019,7898,7970,19671
2019-01-11,7994,8092,7956,7975,30542
2019-01-14,7945,7945,7873,7925,14955
2019-01-15,7918,8087,7918,8072,16075
2019-01-16,8099,8124,8055,8127,24883
2019-01-17,8137,8137,7922,7935,41238
2019-01-18,7964,8029,7947,7955,33485
2019-01-21,8009,8009,7878,7915,25268
2019-01-22,7935,8009,7844,7865,19276
2019-01-23,7829,7925,7814,7870,19389
2019-01-24,7858,7886,7824,7865,21747
2019-01-25,7872,8190,7872,8175,53538
2019-01-28,8230,8230,8104,8137,55201
2019-01-29,8118,8182,8054,8185,12505
2019-01-30,8191,8206,8104,8156,42584
2019-01-31,8245,8255,8099,8127,19827
2019-02-01,8114,8201,8114,8137,21293
2019-02-07,8160,8401,8160,8401,69623
2019-02-08,8355,8384,8293,8331,36560
2019-02-11,8346,8346,8263,8321,56846
2019-02-12,8323,8404,8303,8381,31723
2019-02-13,8422,8497,8407,8499,36806
2019-02-14,8497,8536,8397,8539,108876
2019-02-15,8538,8543,8381,8446,43010
2019-02-18,8517,8620,8477,8623,58322
2019-02-19,8635,8716,8546,8672,86719
2019-02-20,8690,8725,8639,8676,61497
2019-02-21,8701,8711,8595,8608,29151
2019-02-22,8567,8567,8381,8426,126892
2019-02-25,8472,8570,8432,8574,90412
2019-02-26,8562,8562,8421,8431,87267
2019-02-27,8432,8490,8397,8469,65492
2019-02-28,8504,8543,8333,8336,76949
2019-03-04,8439,8464,8343,8346,99379
2019-03-05,8362,8362,8143,8180,71985
2019-03-06,8207,8268,8167,8210,34949
2019-03-07,8201,8245,8055,8117,97626
2019-03-08,8070,8147,8041,8102,53739
2019-03-11,8077,8087,7893,8024,89065
2019-03-12,8060,8137,8060,8137,58376
2019-03-13,8127,8127,8006,8067,57063
2019-03-14,8084,8156,8084,8127,51103
2019-03-15,8084,8181,8084,8147,61049
2019-03-18,8152,8161,8079,8107,113924
2019-03-19,8084,8186,8084,8137,131965
2019-03-20,8122,8122,7947,8053,91059
2019-03-21,8165,8379,8165,8306,333387
2019-03-22,8343,8343,8182,8225,75705
2019-03-25,8029,8077,7908,7925,89526
2019-03-26,7930,7954,7878,7900,57130
2019-03-27,7945,7954,7839,7875,124501
2019-03-28,7844,7853,7628,7665,89076
2019-03-29,7623,7693,7480,7694,125538
2019-04-01,7692,7798,7692,7753,47170
2019-04-02,7793,7813,7747,7768,26270
2019-04-03,7751,7863,7731,7865,32123
2019-04-04,7858,7916,7834,7870,116256
2019-04-05,7887,7892,7790,7843,42827
2019-04-08,7844,7906,7844,7895,29510
2019-04-09,7976,8004,7927,7999,103895
2019-04-10,7954,7954,7888,7940,44103
2019-04-11,7942,8009,7942,7995,55513
2019-04-12,7991,8048,7947,8019,47192
2019-04-15,8039,8063,7986,8024,37047
2019-04-16,8004,8004,7918,7980,58031
2019-04-17,7956,8043,7956,8014,52770
2019-04-18,8029,8063,7853,7870,52642
2019-04-19,7878,7935,7878,7920,34515
2019-04-22,7925,7964,7853,7895,80557
2019-04-23,7906,7906,7848,7860,43254
2019-04-24,7892,7892,7732,7773,48615
2019-04-25,7737,7759,7707,7738,107153
2019-04-26,7710,7710,7583,7616,58009
2019-04-29,7589,7684,7589,7685,18607
2019-04-30,7742,7742,7599,7690,63849
2019-05-02,7658,7760,7633,7754,51023
2019-05-03,7762,7800,7753,7794,86219
2019-05-07,7669,7692,7634,7685,56087
2019-05-08,7578,7606,7544,7591,78118
2019-05-09,7553,7557,7203,7205,173979
2019-05-10,7203,7295,7079,7205,186336
