날짜,open,high,low,close,volume
2016-01-04,10447,10578,10044,10400,607269
2016-01-05,10153,10555,10153,10395,1798020
2016-01-06,10597,10597,10323,10580,613747
2016-01-07,10525,10626,10358,10481,1337822
2016-01-08,10271,10556,10130,10567,840915
2016-01-11,10544,10626,10418,10476,446197
2016-01-12,10521,10531,10354,10377,519433
2016-01-13,10486,10647,10463,10657,540791
2016-01-14,10500,10617,10448,10562,582038
2016-01-15,10750,10750,10432,10490,726071
2016-01-18,10418,10722,10372,10727,498829
2016-01-19,10725,10746,10527,10718,550409
2016-01-20,10710,10780,10428,10562,477918
2016-01-21,10565,10655,10423,10590,468807
2016-01-22,10604,10626,10423,10610,426265
2016-01-25,10706,10781,10608,10787,214340
2016-01-26,10743,10769,10661,10767,509940
2016-01-27,10849,10849,10562,10620,539215
2016-01-28,10638,10717,10508,10723,490957
2016-01-29,10712,10722,10565,10727,495279
2016-02-01,10780,10833,10729,10834,359927
2016-02-02,10800,10843,10790,10849,418801
2016-02-03,10770,10818,10690,10824,275621
2016-02-04,10771,10799,10676,10787,387570
2016-02-05,10733,10775,10662,10670,405709
2016-02-11,10446,10492,10057,10090,469704
2016-02-12,9937,9946,9187,9357,587523
2016-02-15,9514,9575,9343,9569,932571
2016-02-16,9575,9785,9575,9773,580625
2016-02-17,9715,9809,9436,9448,490269
2016-02-18,9686,9732,9600,9713,480121
2016-02-19,9719,9841,9709,9815,505444
2016-02-22,9852,9967,9852,9963,606937
2016-02-23,9991,9991,9763,9850,566107
2016-02-24,9700,9826,9700,9796,597914
2016-02-25,9834,9892,9797,9850,426326
2016-02-26,9874,9914,9854,9891,426200
2016-02-29,9894,9924,9859,9895,426309
2016-03-02,10039,10154,10039,10163,492389
2016-03-03,10128,10316,10103,10285,456523
2016-03-04,10321,10356,10257,10315,433290
2016-03-07,10370,10384,10253,10263,425990
2016-03-08,10304,10308,10124,10271,425522
2016-03-09,10285,10333,10237,10334,440471
2016-03-10,10363,10398,10310,10391,426607
2016-03-11,10418,10418,10323,10424,427193
2016-03-14,10447,10447,10344,10377,424481
2016-03-15,10351,10360,10276,10315,418391
2016-03-16,10300,10356,10280,10325,419691
2016-03-17,10369,10402,10305,10325,925514
2016-03-18,10381,10389,10344,10381,405781
2016-03-21,10417,10494,10306,10362,414591
2016-03-22,10379,10379,10290,10357,429455
2016-03-23,10336,10356,10280,10300,414770
2016-03-24,10285,10309,10186,10227,417450
2016-03-25,10228,10228,10130,10143,417900
2016-03-28,10213,10213,10052,10063,430712
2016-03-29,10097,10162,10072,10173,412644
2016-03-30,10191,10216,10171,10222,407133
2016-03-31,10214,10219,10125,10183,409390
2016-04-01,10184,10326,10184,10300,5443
2016-04-04,10333,10379,10333,10352,27455
2016-04-05,10349,10362,10344,10362,2603
2016-04-06,10342,10342,10267,10276,395923
2016-04-07,10339,10377,10291,10377,406906
2016-04-08,10360,10392,10314,10347,439055
2016-04-11,10338,10367,10201,10212,400113
2016-04-12,10246,10251,10157,10233,480483
2016-04-14,10300,10300,10162,10173,421454
2016-04-15,10181,10224,10158,10202,375284
2016-04-18,10189,10199,10125,10138,356565
2016-04-19,10248,10262,10157,10271,402837
2016-04-20,10294,10317,10220,10248,401282
2016-04-21,10252,10266,10144,10207,454845
2016-04-22,10196,10237,10166,10212,405642
2016-04-25,10225,10258,10185,10263,401237
2016-04-26,10270,10308,10195,10243,425493
2016-04-27,10280,10295,10140,10168,404848
2016-04-28,10200,10215,10105,10118,406395
2016-04-29,10110,10118,10015,10115,409778
2016-05-02,10110,10120,9919,9923,419590
2016-05-03,9968,10097,9917,10105,463607
2016-05-04,10089,10102,9989,10019,429991
2016-05-09,10046,10046,9939,10033,408559
2016-05-10,10024,10086,9979,10095,421951
2016-05-11,10125,10161,10097,10158,443852
2016-05-12,10140,10172,10072,10178,440563
2016-05-13,10165,10165,10115,10138,438044
2016-05-16,10128,10152,10082,10105,454031
2016-05-17,10098,10098,9974,10009,455560
2016-05-18,9985,9985,9813,9828,457738
2016-05-19,9855,9870,9703,9757,510244
2016-05-20,9747,9883,9713,9886,452335
2016-05-23,9945,9983,9912,9976,440801
2016-05-24,9949,9968,9897,9913,428183
2016-05-25,9952,10026,9939,10019,409009
2016-05-26,10009,10009,9899,9957,510639
2016-05-27,9948,9989,9902,10000,415218
2016-05-30,10024,10031,9935,10029,437981
2016-05-31,10044,10097,10025,10105,447459
2016-06-01,10161,10161,10097,10128,459786
2016-06-02,10170,10170,10077,10133,430859
2016-06-03,10128,10128,10058,10128,460582
2016-06-07,10187,10195,10120,10188,346688
2016-06-08,10243,10243,10125,10217,512223
2016-06-09,10267,10301,10077,10183,467715
2016-06-10,10300,10300,10162,10248,493020
2016-06-13,10228,10228,9999,10009,430132
2016-06-14,9943,10132,9894,10024,436710
2016-06-15,9923,10061,9923,9967,455287
2016-06-16,10093,10093,9757,9882,396133
2016-06-17,9968,9972,9717,9804,385252
2016-06-20,9796,9928,9796,9895,414212
2016-06-21,9927,9932,9822,9918,441209
2016-06-22,9918,9959,9868,9882,409847
2016-06-23,9870,9870,9712,9813,522745
2016-06-24,9850,9963,9067,9305,592654
2016-06-27,9564,9564,9086,9411,466468
2016-06-28,9325,9565,9247,9566,467184
2016-06-29,9593,9726,9514,9732,441037
2016-06-30,9726,9825,9726,9818,545794
2016-07-01,9811,9972,9811,9981,566244
2016-07-04,10046,10046,9921,10029,508226
2016-07-05,9962,10050,9926,10019,511712
2016-07-06,9971,10066,9817,9952,450272
2016-07-07,8992,10115,8992,10123,610296
2016-07-08,10069,10155,9935,10053,448891
2016-07-11,10076,10076,9974,10086,105439
2016-07-12,10090,10146,10043,10090,62021
2016-07-13,10067,10165,10067,10128,58830
2016-07-14,10061,10141,10014,10086,311699
2016-07-15,10118,10128,9980,9991,85764
2016-07-18,10004,10084,9952,10024,274078
2016-07-19,10055,10074,9984,10048,14030
2016-07-20,10062,10097,9985,10105,1952
2016-07-21,10072,10180,10072,10138,5708
2016-07-22,10127,10164,10057,10067,58601
2016-07-25,10090,10179,10052,10090,14959
2016-07-26,9984,10079,9984,10048,5423
2016-07-27,10085,10099,9975,9986,720
2016-07-28,9974,10046,9921,10004,73257
2016-07-29,9962,10069,9962,10053,20250
2016-08-01,10080,10080,9953,9976,6971
2016-08-02,9969,9969,9883,9886,1439
2016-08-03,9833,9904,9805,9882,355788
2016-08-04,9877,9972,9837,9908,440809
2016-08-05,9890,9968,9781,9804,165937
2016-08-08,9868,9888,9800,9890,4592
2016-08-09,9840,10027,9840,9991,282214
2016-08-10,9980,10154,9975,10163,62686
2016-08-11,10151,10164,10024,10038,29188
2016-08-12,10122,10122,9999,10095,3595
2016-08-16,10084,10102,9994,10019,80803
2016-08-17,9989,10004,9812,9962,9897
