날짜,open,high,low,close,volume
2016-01-04,33550,34000,32750,32850,113224
2016-01-05,32550,32850,31150,31650,452752
2016-01-06,31700,31700,30650,31300,292454
2016-01-07,31250,32150,31050,31900,138389
2016-01-08,31050,32200,31050,32000,103413
2016-01-11,31600,32350,31450,32250,86689
2016-01-12,32250,32550,32000,32050,84021
2016-01-13,32250,32650,32200,32450,72035
2016-01-14,31850,32050,31300,31500,110865
2016-01-15,31750,31850,30850,31650,154959
2016-01-18,31500,31500,30600,31050,103641
2016-01-19,30800,31200,30300,30900,115984
2016-01-20,30650,30850,29000,29750,174847
2016-01-21,29700,30150,29300,29700,79675
2016-01-22,29900,30300,29600,30250,132138
2016-01-25,30600,31450,30550,31250,104520
2016-01-26,31000,31150,30050,30350,110248
2016-01-27,30650,31500,30450,30900,179093
2016-01-28,30650,31300,30600,31200,91099
2016-01-29,31200,31300,30650,30850,73320
2016-02-01,31050,31450,30600,31350,143270
2016-02-02,31000,31200,29200,29500,363511
2016-02-03,29050,29450,28650,29350,118842
2016-02-04,30150,30450,29800,29950,131716
2016-02-05,30200,30550,29600,29900,153930
2016-02-11,29000,29400,28650,29100,128455
2016-02-12,28750,29000,27800,27800,225023
2016-02-15,28200,29450,28150,29300,150069
2016-02-16,29200,29750,29050,29450,93961
2016-02-17,29300,30350,29050,30250,171701
2016-02-18,30500,31000,30200,30500,158461
2016-02-19,30600,31450,30200,31250,151779
2016-02-22,31000,31150,30500,30850,111498
2016-02-23,31250,31300,30650,31150,125925
2016-02-24,31100,31300,30750,31100,79404
2016-02-25,31550,32100,31050,31750,189964
2016-02-26,31900,31900,31100,31300,99602
2016-02-29,31300,31650,30750,31100,163713
2016-03-02,31400,31650,31050,31100,175244
2016-03-03,31100,31250,30700,31150,124797
2016-03-04,31050,31550,30650,31350,174968
2016-03-07,31300,31850,30700,31150,206602
2016-03-08,31000,31550,30650,31400,152962
2016-03-09,31300,32400,31000,32250,242648
2016-03-10,32500,32550,31800,32350,181216
2016-03-11,32050,32300,31450,31550,203401
2016-03-14,31550,31600,30350,30600,345691
2016-03-15,30550,30700,30000,30200,222739
2016-03-16,30250,30450,29600,29750,238950
2016-03-17,30000,30300,29800,30000,302693
2016-03-18,30300,31000,30300,30850,386997
2016-03-21,31100,31500,30400,30650,300128
2016-03-22,30650,31050,30550,30950,133644
2016-03-23,31000,31250,30700,31050,152923
2016-03-24,30950,31350,30800,31100,160020
2016-03-25,31100,31650,30900,31400,180389
2016-03-28,31600,31700,31000,31300,117076
2016-03-29,31300,31450,30800,31000,136987
2016-03-30,31100,32800,31050,32600,449431
2016-03-31,32250,32400,31750,31800,252786
2016-04-01,31800,32000,29650,29950,656856
2016-04-04,29950,30350,29500,30200,278051
2016-04-05,30050,30500,29400,29550,280975
2016-04-06,29450,29750,29250,29550,227658
2016-04-07,29700,29700,29300,29450,186126
2016-04-08,29300,29950,29250,29800,187078
2016-04-11,29950,29950,29150,29250,253803
2016-04-12,29250,29450,29150,29450,101420
2016-04-14,29600,30250,29600,30250,230100
2016-04-15,30150,30550,30100,30100,163579
2016-04-18,29950,30600,29800,30050,185475
2016-04-19,30150,30350,30050,30350,166667
2016-04-20,30450,30650,30050,30200,190431
2016-04-21,30300,30500,29950,30050,193270
2016-04-22,30150,30300,29950,30100,118940
2016-04-25,30150,30350,29950,30150,85466
2016-04-26,30400,30400,29500,29650,274156
2016-04-27,29550,29600,28950,29000,267284
2016-04-28,29150,29400,28200,28300,357086
2016-04-29,28250,28700,28000,28050,293698
2016-05-02,28050,28450,27750,28200,211851
2016-05-03,28350,28600,28250,28400,255629
2016-05-04,28150,28550,28050,28100,148318
2016-05-09,28200,28300,27150,27400,295608
2016-05-10,27300,27800,27250,27450,221696
2016-05-11,27850,29500,27800,29400,1350707
2016-05-12,29000,29450,28600,29450,374879
2016-05-13,29450,29500,28700,28900,242324
2016-05-16,28800,29200,28550,29050,167219
2016-05-17,29400,29450,28600,28850,177391
2016-05-18,28650,28700,28050,28300,242607
2016-05-19,28000,28200,27500,27950,284921
2016-05-20,27900,28350,27650,27800,183665
2016-05-23,28050,28050,27700,27850,167416
2016-05-24,27750,27950,27600,27700,152516
2016-05-25,27900,28050,27700,27800,234878
2016-05-26,27950,28000,27750,27900,182229
2016-05-27,27950,28200,27800,28000,297106
2016-05-30,28050,28150,27650,27650,120319
2016-05-31,27600,27800,27400,27750,171441
2016-06-01,27850,28000,27600,27850,112079
2016-06-02,27850,27900,27550,27650,93557
2016-06-03,27650,27900,27600,27800,117615
2016-06-07,27950,28250,27800,28100,122330
2016-06-08,28100,28950,28050,28900,242099
2016-06-09,28900,29350,28750,29350,375873
2016-06-10,29200,29250,28650,28800,199158
2016-06-13,28500,28600,27950,28000,207546
2016-06-14,27850,28000,27100,27200,277411
2016-06-15,27250,27550,27100,27450,112916
2016-06-16,27450,27600,27000,27100,117788
2016-06-17,27300,27450,27150,27150,99861
2016-06-20,27250,28200,27250,28150,123793
2016-06-21,28350,28350,28050,28250,124676
2016-06-22,28150,28550,28050,28350,147001
2016-06-23,28050,28300,27700,27850,149164
2016-06-24,28100,28250,25950,26300,473666
2016-06-27,25700,26550,25550,26550,196942
2016-06-28,26150,26700,26000,26650,106303
2016-06-29,26850,27400,26600,26900,188843
2016-06-30,27250,27350,27000,27050,120232
2016-07-01,27200,27650,27150,27450,119675
2016-07-04,27350,27800,27200,27450,168639
2016-07-05,27450,27700,27250,27450,101468
2016-07-06,27300,27450,26600,26850,148829
2016-07-07,27100,27450,26950,27250,131200
2016-07-08,27150,27250,26550,26600,136771
2016-07-11,26900,27050,26550,26750,114415
2016-07-12,26750,27200,26650,27150,117828
2016-07-13,27250,27800,27250,27700,168687
2016-07-14,27800,28300,27700,28150,174464
2016-07-15,28200,28250,27850,27850,111121
2016-07-18,27900,28200,27750,27750,69650
2016-07-19,27750,27850,27100,27100,181882
2016-07-20,27200,27300,27050,27200,87953
2016-07-21,27350,27850,27300,27750,144436
2016-07-22,27750,27750,27300,27450,72795
2016-07-25,27550,28300,27550,27800,119540
2016-07-26,28000,28300,27850,27950,151236
2016-07-27,28200,28950,28050,28850,362890
2016-07-28,28950,29200,28500,28750,173095
2016-07-29,29000,30350,29000,29900,732184
2016-08-01,30150,30350,29900,30200,268596
2016-08-02,30000,30850,29900,30300,337211
2016-08-03,30150,30800,29950,30650,299181
2016-08-04,30550,30850,30100,30650,186498
2016-08-05,30650,31250,30450,31100,270382
2016-08-08,31500,31600,30400,30450,281304
2016-08-09,30100,32150,29750,31750,951138
2016-08-10,31750,32300,31200,31250,397521
2016-08-11,31200,31250,30000,30000,441543
2016-08-12,30100,30650,29850,30000,296462
2016-08-16,30050,30400,29450,29500,255505
2016-08-17,29300,29500,28900,29200,190027
2016-08-18,29350,29450,28750,28800,184358
2016-08-19,28850,29250,28350,28900,229080
2016-08-22,28900,28900,28300,28350,185346
2016-08-23,28350,28700,28250,28500,155918
2016-08-24,28500,28650,28000,28250,200976
2016-08-25,28250,28950,28150,28500,249142
2016-08-26,28500,28750,28100,28250,210063
2016-08-29,28050,28200,27200,27250,388795
2016-08-30,27400,27900,27250,27500,184958
2016-08-31,27350,27800,27350,27450,120770
2016-09-01,27350,27450,26950,27200,217654
2016-09-02,27300,27800,26750,27650,184330
2016-09-05,27750,28000,27650,28000,142675
2016-09-06,28000,28000,27400,27450,129991
2016-09-07,27450,27800,27350,27450,117648
2016-09-08,27350,27600,26950,27050,175636
2016-09-09,27000,27250,26750,27250,104379
2016-09-12,26950,27250,26600,26650,161067
2016-09-13,26950,27000,26250,26400,219314
2016-09-19,26200,27100,26000,27100,238235
2016-09-20,27000,27300,26750,27100,143162
2016-09-21,27250,27800,26900,27650,273343
2016-09-22,27650,27950,27600,27700,141002
2016-09-23,27950,28050,27700,28000,130314
2016-09-26,28000,28100,27750,27900,57330
2016-09-27,27900,28700,27850,28650,215660
2016-09-28,28600,28750,28000,28450,141445
2016-09-29,28450,28650,28400,28600,141678
2016-09-30,28350,28500,28000,28300,126354
2016-10-04,28200,28800,28200,28700,208436
2016-10-05,28400,28750,28200,28650,132199
2016-10-06,28500,28550,27650,28050,231009
2016-10-07,28200,28250,27750,28150,109127
2016-10-10,28300,28350,27850,27950,101552
2016-10-11,28250,28300,27850,27900,90173
2016-10-12,28000,28550,27900,28400,117852
2016-10-13,28400,28400,27500,27550,176121
2016-10-14,27700,28600,27600,28600,207336
2016-10-17,28550,28950,28400,28700,206496
2016-10-18,28750,29650,28750,29600,380828
2016-10-19,29550,29600,29050,29450,200691
2016-10-20,29450,29450,28650,28950,241430
2016-10-21,28700,29250,28700,29250,124552
2016-10-24,29100,29450,28850,29000,128806
2016-10-25,29100,29100,28500,28600,129825
2016-10-26,28600,28650,27850,28050,159819
2016-10-27,27900,28400,27900,28300,77850
2016-10-28,28250,28250,27550,27700,163677
2016-10-31,27500,27700,26900,27050,128205
2016-11-01,26650,27450,26650,27400,107810
2016-11-02,27100,27400,26800,27250,157369
2016-11-03,27200,27500,27000,27500,81487
2016-11-04,27600,27700,27350,27550,85931
2016-11-07,27850,27950,27500,27800,62067
2016-11-08,27450,27800,27300,27450,130814
2016-11-09,27750,27750,26350,27250,304062
2016-11-10,27500,28650,27300,28650,305005
2016-11-11,28400,29250,27950,29100,390258
2016-11-14,29700,31650,29650,31100,1076972
2016-11-15,30950,31200,30600,31050,298325
2016-11-16,31050,32000,30750,31800,450510
2016-11-17,31750,32000,31450,31600,184898
2016-11-18,31400,31700,30750,31600,262582
2016-11-21,31200,31950,31200,31450,303442
2016-11-22,31400,31500,30850,31350,160357
2016-11-23,31150,31450,30850,31150,208624
2016-11-24,31100,31900,30450,31000,426104
2016-11-25,31100,31600,30600,31350,314026
2016-11-28,31300,31500,30800,30900,106085
2016-11-29,30650,31000,30550,30850,113278
2016-11-30,31000,31000,30100,30300,198009
2016-12-01,30300,31500,30300,31350,228956
2016-12-02,31200,31450,30550,30550,185987
2016-12-05,30450,31000,30000,30100,174236
2016-12-06,30250,31000,30250,30650,157424
2016-12-07,30650,31200,30500,31100,137573
2016-12-08,31450,31850,30800,30950,232659
2016-12-09,31050,31800,30900,31300,203949
2016-12-12,31750,32300,31450,32150,281308
2016-12-13,32150,32450,31850,32150,226127
2016-12-14,32350,32400,31200,31200,238297
2016-12-15,30900,32650,30750,32300,308887
2016-12-16,32200,32750,31950,32500,169891
2016-12-19,32700,32750,32100,32200,126206
2016-12-20,32000,32650,32000,32000,109129
2016-12-21,32000,32800,31850,32750,134909
2016-12-22,32800,33250,32500,33050,253206
2016-12-23,33050,33400,33000,33150,157375
2016-12-26,33150,33650,32650,33550,156806
2016-12-27,33550,33800,33100,33650,188778
2016-12-28,33200,33450,32750,33100,153023
2016-12-29,33100,33350,32500,33000,190754
2017-01-02,33000,34350,32550,33600,178061
2017-01-03,33600,34350,33300,33900,157876
2017-01-04,34200,34200,32500,32600,327433
2017-01-05,32800,33400,32350,32550,282152
2017-01-06,32500,33100,32150,32500,164119
2017-01-09,32550,32700,31450,31550,294467
2017-01-10,31500,32050,31350,31550,206685
2017-01-11,31500,32200,31500,32000,169287
2017-01-12,32000,33050,32000,33000,157378
2017-01-13,32950,33000,32050,32400,146412
2017-01-16,32300,32450,31550,31650,96322
2017-01-17,31600,32050,31500,31750,92165
2017-01-18,31700,32000,31150,32000,80268
2017-01-19,31950,31950,31250,31450,118650
2017-01-20,31450,32000,31200,31350,78671
2017-01-23,31350,31600,31150,31300,91093
2017-01-24,31500,31600,30950,31550,79002
2017-01-25,31650,31800,30350,30650,203279
2017-01-26,30800,31450,30650,31300,68723
2017-01-31,31100,31250,30600,31050,80460
2017-02-01,31050,31900,30950,31750,93198
2017-02-02,31450,31900,31300,31400,129863
2017-02-03,31300,31700,31100,31350,107458
2017-02-06,31600,32100,30900,31950,151732
2017-02-07,32100,32150,31100,31500,143132
2017-02-08,31300,31450,30850,30850,90387
2017-02-09,30800,31550,30800,31200,78726
2017-02-10,31500,33700,31350,33250,401664
2017-02-13,33150,33950,33050,33750,161660
2017-02-14,33850,33850,33100,33250,118921
2017-02-15,33400,33600,33050,33300,98769
2017-02-16,33350,33600,32400,32550,149464
2017-02-17,32500,33550,32200,33150,158150
2017-02-20,32950,33150,32400,32600,100335
2017-02-21,32300,33400,32300,33400,139170
2017-02-22,33600,33600,32600,32800,169616
2017-02-23,32850,33200,32650,32950,95038
2017-02-24,33000,33000,32300,32750,102087
2017-02-27,32850,32900,31900,32050,112446
