날짜,open,high,low,close,volume
2024-02-06,994855,994855,994850,994855,52192
2024-02-07,995312,995317,995307,995317,36355
2024-02-08,995412,995417,995407,995417,52304
2024-02-13,995511,995516,995506,995516,40511
2024-02-14,995611,995616,995606,995616,22033
2024-02-15,995914,995914,995904,995914,28349
2024-02-16,996013,996013,996003,996013,43833
2024-02-19,996113,996113,996103,996113,38983
2024-02-20,996212,996212,996202,996212,42552
2024-02-21,996312,996312,996302,996312,41069
2024-02-22,996610,996610,996600,996605,53142
2024-02-23,996709,996709,996704,996709,61808
2024-02-26,996819,996819,996814,996819,54812
2024-02-27,996913,996913,996908,996913,54750
2024-02-28,997306,997311,997306,997311,71928
2024-02-29,997420,997420,997415,997420,65752
2024-03-04,997510,997510,997505,997510,57656
2024-03-05,997609,997609,997604,997609,62553
2024-03-06,997704,997708,997704,997708,54540
2024-03-07,998012,998017,998012,998017,69134
2024-03-08,998096,998101,998096,998101,65666
2024-03-11,998206,998206,998201,998206,52815
2024-03-12,998305,998305,998300,998305,44524
2024-03-13,998399,998404,998399,998404,53545
2024-03-14,998693,998698,998693,998698,47322
2024-03-15,998792,998797,998792,998797,44722
2024-03-18,998897,998897,998892,998897,47341
2024-03-19,998991,998996,998991,998991,46342
2024-03-20,999090,999095,999090,999095,47230
2024-03-21,999389,999394,999389,999394,48261
2024-03-22,999488,999493,999488,999493,45272
2024-03-25,999593,999593,999588,999593,43771
2024-03-26,999707,999707,999702,999707,45560
2024-03-27,999786,999791,999786,999791,45933
2024-03-28,1000085,1000090,1000085,1000090,48736
2024-03-29,1000189,1000189,1000184,1000189,37775
2024-04-01,1000283,1000288,1000283,1000288,36854
2024-04-02,1000378,1000383,1000378,1000383,26039
2024-04-03,1000482,1000482,1000477,1000482,24214
2024-04-04,1000771,1000776,1000771,1000776,58195
2024-04-05,1000870,1000875,1000870,1000875,25838
2024-04-08,1001064,1001069,1001064,1001069,31233
2024-04-09,1001163,1001168,1001163,1001168,33683
2024-04-11,1001457,1001462,1001457,1001457,31605
2024-04-12,1001551,1001556,1001551,1001556,32480
2024-04-15,1001651,1001655,1001651,1001655,26879
2024-04-16,1001750,1001755,1001750,1001755,24220
2024-04-17,1001844,1001849,1001844,1001849,26704
2024-04-18,1002138,1002143,1002138,1002143,34511
2024-04-19,1002237,1002242,1002237,1002242,21046
2024-04-22,1002337,1002341,1002337,1002341,16498
2024-04-23,1002436,1002441,1002436,1002441,17204
2024-04-24,1002535,1002540,1002535,1002540,15471
2024-04-25,1002834,1002839,1002834,1002834,17634
2024-04-26,1002933,1002938,1002933,1002938,16110
2024-04-29,1003132,1003137,1003132,1003137,15487
2024-04-30,1003231,1003236,1003231,1003236,15147
2024-05-02,1003629,1003634,1003629,1003634,19129
2024-05-03,1003728,1003733,1003728,1003733,16608
2024-05-07,1003828,1003833,1003828,1003833,22206
2024-05-08,1003927,1003932,1003927,1003932,20706
2024-05-09,1004230,1004235,1004230,1004230,26890
2024-05-10,1004330,1004335,1004330,1004335,69263
2024-05-13,1004534,1004539,1004534,1004539,115901
2024-05-14,1004643,1004643,1004638,1004643,21596
2024-05-16,1004946,1004946,1004941,1004946,32141
2024-05-17,1005046,1005046,1005041,1005046,25515
2024-05-20,1005150,1005150,1005145,1005150,20730
2024-05-21,1005255,1005255,1005250,1005255,20364
2024-05-22,1005349,1005354,1005349,1005354,31482
2024-05-23,1005652,1005657,1005652,1005657,21310
2024-05-24,1005762,1005762,1005757,1005762,20125
2024-05-27,1005861,1005866,1005861,1005866,20178
2024-05-28,1005965,1005965,1005960,1005965,30707
2024-05-29,1006070,1006070,1006065,1006070,22257
2024-05-30,1006363,1006368,1006363,1006368,26260
2024-05-31,1006472,1006472,1006467,1006472,21349
2024-06-03,1006577,1006577,1006572,1006577,38469
2024-06-04,1006781,1006781,1006776,1006781,55060
2024-06-05,1007084,1007084,1007079,1007084,38113
2024-06-07,1007183,1007183,1007178,1007183,53204
2024-06-10,1007288,1007288,1007283,1007288,49117
2024-06-11,1007392,1007392,1007387,1007392,76896
2024-06-12,1007491,1007491,1007487,1007491,35280
2024-06-13,1007785,1007790,1007785,1007790,35743
2024-06-14,1007889,1007889,1007884,1007889,189464
2024-06-17,1007984,1007989,1007984,1007989,247712
2024-06-18,1008083,1008088,1008083,1008088,37856
2024-06-19,1008178,1008187,1008178,1008187,179576
2024-06-20,1008471,1008481,1008471,1008481,24800
2024-06-21,1008570,1008580,1008570,1008575,143382
2024-06-24,1008680,1008685,1008680,1008685,116541
2024-06-25,1008779,1008784,1008779,1008784,125165
2024-06-26,1008878,1008883,1008878,1008883,27985
2024-06-27,1009177,1009182,1009177,1009177,67371
2024-06-28,1009276,1009281,1009276,1009281,137571
2024-07-01,1009380,1009385,1009380,1009385,33937
2024-07-02,1009475,1009480,1009475,1009480,32360
2024-07-03,1009604,1009609,1009604,1009609,47009
2024-07-04,1009863,1009868,1009863,1009868,49061
2024-07-05,1009957,1009962,1009957,1009962,42990
2024-07-08,1010062,1010066,1010062,1010066,37216
2024-07-09,1010156,1010161,1010156,1010161,64748
2024-07-10,1010250,1010255,1010250,1010255,55522
2024-07-11,1010534,1010539,1010534,1010539,40541
2024-07-12,1010633,1010638,1010633,1010638,38022
2024-07-15,1010738,1010743,1010738,1010743,48922
2024-07-16,1010832,1010837,1010832,1010837,43707
2024-07-17,1010926,1010931,1010926,1010931,85835
2024-07-18,1011210,1011215,1011210,1011210,45288
2024-07-19,1011304,1011309,1011304,1011309,38220
2024-07-22,1011414,1011414,1011409,1011414,42191
2024-07-23,1011508,1011513,1011508,1011513,35024
2024-07-24,1011603,1011608,1011603,1011608,50797
2024-07-25,1011886,1011891,1011886,1011891,48998
2024-07-26,1011980,1011985,1011980,1011985,35402
2024-07-29,1012085,1012090,1012085,1012090,42071
2024-07-30,1012179,1012184,1012179,1012184,42722
2024-07-31,1012274,1012279,1012274,1012279,67257
2024-08-01,1012557,1012562,1012557,1012562,92809
2024-08-02,1012651,1012656,1012651,1012656,52131
2024-08-05,1012756,1012761,1012756,1012761,56259
2024-08-06,1012845,1012850,1012845,1012850,85281
