날짜,open,high,low,close,volume
2024-12-03,7898,7974,7895,7967,1222412
2024-12-04,7842,7926,7809,7891,1263311
2024-12-05,7921,7921,7805,7829,1015137
2024-12-06,7862,7870,7687,7779,941111
2024-12-09,7666,7735,7598,7607,1243207
2024-12-10,7666,7757,7663,7753,908658
2024-12-11,7738,7822,7718,7822,1412792
2024-12-12,7857,7934,7829,7921,1128337
2024-12-13,7916,7967,7878,7947,1189771
2024-12-16,8012,8012,7916,7921,912182
2024-12-17,7947,7947,7833,7846,979954
2024-12-18,7866,7964,7853,7955,944175
2024-12-19,7757,7870,7753,7782,1306650
2024-12-20,7760,7760,7621,7684,1151471
2024-12-23,7738,7814,7704,7802,1480935
2024-12-24,7826,7826,7774,7809,1120644
2024-12-26,7842,7842,7764,7769,1021708
2024-12-27,7760,7779,7695,7749,1018125
2024-12-30,7738,7818,7704,7738,1034183
2025-01-02,7735,7757,7681,7735,1049063
2025-01-03,7738,7866,7738,7842,1492804
2025-01-06,7898,7943,7857,7943,1058993
2025-01-07,7955,8002,7921,7926,906372
2025-01-08,7873,8007,7853,7998,1159232
2025-01-09,8015,8045,7985,8002,1069353
2025-01-10,8015,8037,7959,7998,971515
2025-01-13,7951,7980,7886,7943,1712543
2025-01-14,7905,7948,7877,7926,1139974
2025-01-15,7934,7982,7905,7930,886544
2025-01-16,8026,8026,7991,8009,840280
2025-01-17,8009,8029,7971,8004,607535
2025-01-20,8034,8037,7987,8009,899509
2025-01-21,8029,8074,7964,8013,814743
2025-01-22,8043,8106,8034,8106,731999
2025-01-23,8040,8094,8009,8029,756474
2025-01-24,8043,8086,8034,8086,538624
2025-01-31,8074,8113,7948,8021,1788536
2025-02-03,7921,7948,7754,7815,1929755
2025-02-04,7882,7974,7844,7905,1185094
2025-02-05,7974,7995,7943,7974,1023610
2025-02-06,7995,8040,7982,8040,2491533
2025-02-07,8043,8043,7967,7982,2711128
2025-02-10,7943,8017,7905,8000,1375649
2025-02-11,8029,8070,8004,8043,1232728
2025-02-12,8057,8070,8004,8070,1738138
2025-02-13,8087,8111,8070,8106,3055681
